,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,66.382,63.236,60.134,57.316,54.606,0.0944617065794766,0.09933477874409408,0.1037058218914643,0.10759294213108718,0.11135320227589458
1,far_focus,67.412,60.54,54.502,49.614,45.582,0.09245921286270023,0.10260260521735996,0.1105275043008104,0.12106790098778904,0.12890444770045578
2,fog_3d,69.572,60.3,49.02,39.838,32.818,0.09277935334440321,0.10214609967790544,0.10373869323560968,0.1046830044238083,0.10209823099579662
3,flash,51.378,47.182,41.764,34.478,24.668,0.11888979522950947,0.12377465599782765,0.13397717103951612,0.14758301701536403,0.1665405383652076
4,color_quant,73.252,72.734,70.374,60.924,30.42,0.08479230422131717,0.08476527824256569,0.08853004238504916,0.10377100193727762,0.15886257926262914
5,low_light,58.366,56.214,52.828,47.928,39.5,0.10559650798957795,0.10563779902525246,0.10855022896196694,0.1138394834686257,0.11567288948362693
6,xy_motion_blur,54.55,44.132,35.506,29.186,24.134,0.10721371522169561,0.12097231952581555,0.13385046152438967,0.1443228035714291,0.15261791315760465
7,z_motion_blur,44.782,38.032,32.36,27.852,25.4,0.1436650772748515,0.16558519608221947,0.1875224689491838,0.20626986833840608,0.21654850822642446
8,iso_noise,49.772,46.658,39.98,30.198,17.05,0.11586890674825757,0.11885305082539097,0.12039142701724544,0.12518535430066288,0.11807964165939018
9,bit_error,44.628,38.208,31.19,24.234,12.43,0.1141619335334003,0.12713138073522598,0.14368486322883517,0.17077443265743553,0.22160959518816323
10,h265_abr,50.364,47.646,41.028,32.552,34.444,0.10544460454959423,0.10525785987015814,0.10914676964767277,0.1161829637475498,0.11545977784194052
