,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,70.396,67.592,64.728,62.07,59.56,0.09051119881771505,0.0955290546747297,0.09905626413371414,0.10353143799755722,0.10540831037975848
1,far_focus,71.226,65.226,59.656,54.852,50.642,0.08974983039360493,0.09966073459014296,0.1076736728104949,0.11771786838475615,0.12594038212783634
2,fog_3d,72.674,64.846,53.744,44.36,36.704,0.08777499006904661,0.0981397881349735,0.10524373031249269,0.10623892871038988,0.10535577698595822
3,flash,55.81,51.828,46.374,38.966,28.418,0.1125610248141177,0.12128825501168147,0.12821302052468994,0.14056261041273363,0.1562749760546349
4,color_quant,75.906,75.46,73.692,64.95,33.812,0.0831214813440293,0.08311831465676427,0.08531729540228844,0.10116472825549543,0.16153074305895715
5,low_light,65.464,63.898,61.044,56.926,49.374,0.09764916587989778,0.09909544069308787,0.10480674282431603,0.10842952988319099,0.11597059651136399
6,xy_motion_blur,60.262,49.658,40.512,33.178,27.258,0.10265810691479593,0.11674403746601195,0.1328820188833028,0.14643929000273348,0.1586088969922997
7,z_motion_blur,49.796,42.842,36.61,31.366,28.688,0.14011559085000305,0.16333457642864435,0.18785679411001505,0.20885850658483804,0.22124123547866942
8,iso_noise,67.108,66.016,63.53,58.516,49.344,0.09358693203702569,0.09484240358378739,0.10084322710119188,0.1148672513637878,0.15199526640333236
9,bit_error,49.042,42.47,35.042,27.508,14.67,0.1134971109704487,0.12310333799475803,0.13985289816247298,0.16243774566885083,0.20537842845061793
10,h265_abr,55.37,53.116,47.29,38.37,40.478,0.10823280869862065,0.10792118683671578,0.11482593006825074,0.12112940758746117,0.12005100115442649
