,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,67.226,64.208,60.908,58.12,55.216,0.09667561199810355,0.10068833807215094,0.10316089582921938,0.10618033390777186,0.11101220511566848
1,far_focus,68.196,61.144,55.058,49.914,45.844,0.0953565318037197,0.10469779754348099,0.11314500408880412,0.12240096928942949,0.12882648047517986
2,fog_3d,67.93,52.894,40.118,30.824,24.33,0.12307889431068673,0.13488305522751062,0.12543389178615064,0.11040101230921223,0.09910413135228678
3,flash,49.778,45.502,39.772,32.234,22.054,0.12882114023076371,0.13450369333818554,0.14507732301486656,0.15608776961684226,0.1736770811921917
4,color_quant,74.086,73.344,70.026,54.132,16.934,0.08615804705966264,0.08744512299239636,0.09058131509821862,0.11960681881122291,0.23997630133874714
5,low_light,57.422,54.374,50.072,42.674,30.204,0.10682540483519434,0.10605955583883449,0.10670697941478342,0.10472878914583475,0.10145656027117744
6,xy_motion_blur,55.266,44.056,34.796,27.554,22.178,0.10836156119696796,0.1217880881235376,0.1368210931046866,0.14899973375953735,0.1607251538408175
7,z_motion_blur,47.374,40.552,34.688,29.896,27.492,0.13130283297564835,0.15117628676164896,0.17001550900075585,0.18546447751242667,0.19296103787634522
8,iso_noise,43.086,38.518,29.68,18.466,7.102,0.1527377647073567,0.15951362629953772,0.17647734052646905,0.18623349626716226,0.18033996248289944
9,bit_error,45.98,39.536,32.484,25.376,13.184,0.11893809594398365,0.13263627809524536,0.15293783968938515,0.18137270318660886,0.23835044467158614
10,h265_abr,52.146,49.444,43.312,34.954,36.902,0.10994163179449737,0.11079922203300521,0.11564517518140376,0.12235516070982441,0.12107581958781928
