,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,67.294,64.618,61.836,59.364,56.76,0.08767658391907811,0.08973845021989196,0.0912449921008572,0.09317010467633605,0.0950580404955335
1,far_focus,68.118,62.004,56.346,51.66,47.538,0.0872527067906782,0.09167542601659893,0.09663471680507064,0.09854313551913947,0.10304092073541135
2,fog_3d,69.64,61.674,51.3,42.724,35.578,0.0995386403240636,0.10498511714123189,0.0987683624368161,0.09183085861288011,0.08808636469051243
3,flash,57.032,54.118,50.294,44.466,35.698,0.09497400311254896,0.09784061990373769,0.09834122839670628,0.10121537321205251,0.10114057149678468
4,color_quant,72.924,72.594,71.076,63.8,37.494,0.08217774714611471,0.08358753888249397,0.08220498809441924,0.09042561356671154,0.11916304111698642
5,low_light,63.016,61.688,59.76,56.6,50.544,0.09112913928240537,0.09264882352009415,0.09358626894686371,0.09434670783631503,0.09813167065482586
6,xy_motion_blur,58.362,48.592,39.136,31.594,25.64,0.09670560752488673,0.10501010930020362,0.11031750860905275,0.1179872851261869,0.12283413199231029
7,z_motion_blur,52.26,46.034,40.06,35.074,32.414,0.10277670631669461,0.11769227993573994,0.13296122697137297,0.1468285882372409,0.15364537254951893
8,iso_noise,63.9,62.77,60.776,57.334,51.576,0.09187877778537572,0.09079619558177889,0.09412790476292372,0.0949551284264028,0.10191697939328849
9,bit_error,45.844,39.656,32.734,25.94,13.548,0.10479886558165774,0.11169210910692812,0.12281833071550355,0.13613430529363454,0.17315069588048385
10,h265_abr,51.944,49.526,43.47,35.946,37.75,0.10285851954743266,0.10676500635245816,0.11712589299175888,0.12285740312654525,0.12650507568567992
