,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,71.054,68.634,65.818,63.192,60.65,0.08653362610479817,0.087330400512442,0.09130074775982648,0.09226534378845244,0.09447206233810633
1,far_focus,71.882,66.228,60.59,55.854,51.75,0.0831974847037159,0.08986583092173561,0.09638228930043057,0.10018910166239366,0.10672951079191641
2,fog_3d,72.97,65.51,55.064,46.01,38.558,0.09385091613713652,0.1004342482929118,0.0967857686754875,0.09329916739890352,0.09044678208244965
3,flash,60.464,57.53,53.46,47.39,38.324,0.09758256366686896,0.10137214603158645,0.1044720131114684,0.10741370183913969,0.11084140996001661
4,color_quant,75.986,75.614,74.084,67.084,40.802,0.07975411369651556,0.0799938482689485,0.08163831196490676,0.09121945516411215,0.12852764507409184
5,low_light,67.148,65.874,63.832,60.642,54.726,0.09145648681208492,0.09016440258920193,0.09284448150336742,0.09519290190629662,0.09880597781702877
6,xy_motion_blur,61.794,51.532,41.728,33.662,27.602,0.09594089203119278,0.10466375199768692,0.11411875429324805,0.12151905666289851,0.12802976466383786
7,z_motion_blur,55.138,48.352,42.198,36.864,34.102,0.1134368923954852,0.13096760256430134,0.14947328368322924,0.16849851223131643,0.17783803432067857
8,iso_noise,69.558,68.924,67.556,65.278,60.642,0.08955786580767483,0.09131864341765643,0.09128162508413196,0.09490144748285413,0.10011480603232979
9,bit_error,50.002,43.702,36.06,28.66,15.264,0.10632813116047532,0.11120806847142056,0.12432445549594238,0.14501185984967277,0.1853256466477923
10,h265_abr,56.602,54.48,48.832,40.494,42.302,0.10211020508717746,0.10651796881211921,0.11463977247415111,0.12357234126839786,0.12434452740747481
