,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,69.672,66.98,64.142,61.528,59.066,0.09024985336456448,0.09498961839571596,0.09847601712260395,0.10016757304588333,0.10245196706335992
1,far_focus,70.83,64.866,59.022,54.244,49.966,0.08935528392575681,0.09675798261329532,0.10459482866063714,0.11189124234046786,0.11635595895815641
2,fog_3d,70.25,56.76,44.544,35.136,28.3,0.13355603529712184,0.16448336504006758,0.15495009420707823,0.1355142561648786,0.11748304862946272
3,flash,53.022,48.952,43.222,35.692,24.894,0.12174980887476355,0.12718130919564516,0.13838143764469774,0.14968443478321655,0.17105773614279926
4,color_quant,75.72,75.118,72.65,59.16,19.158,0.08149255608350038,0.08226296084862203,0.08809073080535978,0.10216180024314672,0.2372600391338393
5,low_light,64.128,62.014,58.508,53.214,43.224,0.09496421411398798,0.09559496737740934,0.09862319434586912,0.10622663155015558,0.13058859700333328
6,xy_motion_blur,59.408,49.082,39.762,32.38,26.524,0.09972005030784756,0.10677655166747048,0.11780855202998966,0.1261133836517669,0.13302629328567533
7,z_motion_blur,51.294,44.538,38.614,33.346,30.716,0.12039375217869878,0.13738329392105342,0.15565005800239742,0.1719934323174134,0.1815222076709196
8,iso_noise,63.368,61.39,57.688,50.246,38.106,0.10472664343386888,0.11020853183194995,0.12591936407906934,0.16806572225145996,0.26085177220724526
9,bit_error,49.034,42.394,34.886,27.554,14.452,0.10877953335396945,0.12112223312543705,0.14060677419098094,0.16215758217537776,0.21612988819159568
10,h265_abr,55.802,53.624,47.976,39.552,41.394,0.10444896622342989,0.10456670447690412,0.11086443474564701,0.1195010123093985,0.11865244804553687
