,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,68.636,65.502,62.244,59.316,56.478,0.09118256360625848,0.0929832492162101,0.09713279416326434,0.09990479939714074,0.10344755882082507
1,far_focus,69.324,62.804,56.542,51.292,47.07,0.09120317131480202,0.09647290149776265,0.10535973662326112,0.11157252567755059,0.1174024046988599
2,fog_3d,71.128,62.75,51.832,42.654,35.158,0.09965521803125739,0.09815639913259074,0.09741703770808875,0.09460643162354827,0.0929505414753221
3,flash,59.318,56.108,51.536,45.122,35.388,0.10579018636388704,0.10807375009344891,0.11642623653265648,0.12404638060042635,0.13709831259755417
4,color_quant,74.788,74.236,72.294,66.04,45.096,0.08346163421593607,0.08517937307510524,0.08755229595810175,0.09174704625051469,0.11162268797390162
5,low_light,62.19,60.04,56.888,52.1,43.432,0.09433648164480925,0.09648172210641205,0.09839927601989358,0.1008792938407138,0.100652156013567
6,xy_motion_blur,58.124,47.956,38.43,31.01,25.072,0.09954248499128968,0.11005054703876375,0.11516459244098515,0.1196399209669605,0.12284173932274804
7,z_motion_blur,48.034,40.936,34.908,29.746,27.324,0.1256255758995749,0.14448683206921442,0.1638935051513277,0.18202903714990243,0.19189713929032906
8,iso_noise,57.6,54.946,49.584,40.684,27.254,0.10275145783916116,0.10568803006047382,0.10667820444352925,0.11074103137261235,0.10802360677303746
9,bit_error,47.628,41.036,33.606,26.408,13.628,0.10696758404942229,0.11405387898704038,0.13057588736241682,0.14942995329048483,0.1992131575367786
10,h265_abr,53.832,50.86,43.888,35.152,36.962,0.103398459235318,0.1061064248325862,0.11239240680674091,0.12303509885217995,0.12348028544411063
