,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,70.16,67.452,64.65,61.808,59.18,0.08582955293882638,0.08792860395222903,0.09253302367003635,0.09401586419939995,0.09646817343216389
1,far_focus,70.872,64.876,59.252,54.266,50.106,0.08614199586872011,0.09242161762800068,0.09593357411313802,0.1023898354948312,0.10570142427977175
2,fog_3d,72.24,65.232,55.118,46.09,38.448,0.10026320740830154,0.10320284751992673,0.09948072073253802,0.09583274385055528,0.08971008187284693
3,flash,61.282,58.232,54.11,47.976,38.02,0.09897967604938894,0.10190230558911338,0.1073021264033392,0.11369442636551336,0.12595443146914242
4,color_quant,75.572,75.184,73.694,68.626,49.354,0.08061514713235199,0.08313333736766129,0.08601339790191502,0.08815010024957359,0.1081766348725278
5,low_light,65.558,63.996,61.828,58.446,51.916,0.09285111239459366,0.09577071329928935,0.09833646426409483,0.10031131487132981,0.10161800843833015
6,xy_motion_blur,61.04,51.322,42.208,34.58,28.442,0.09869038165446371,0.10472018667977304,0.11049253626838326,0.11759341986041516,0.11864284715769813
7,z_motion_blur,50.836,43.676,37.59,32.164,29.542,0.11745122744139284,0.13473201525788756,0.15155933852154763,0.16796569187924265,0.17656204676453024
8,iso_noise,65.624,64.428,62.242,58.222,50.186,0.09805309514094145,0.09774429122753442,0.09606331526499241,0.10144505787987262,0.10020784965260886
9,bit_error,49.234,42.624,35.202,27.606,14.574,0.10452507822424173,0.11128580744579435,0.1258022768955864,0.14804384610533713,0.19575191129317507
10,h265_abr,55.788,53.294,47.322,38.808,40.502,0.09946248515624553,0.1017297876188904,0.11152060416880995,0.11862138518873602,0.11930672683821991
