,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,60.3,56.92,53.5,50.138,47.174,0.0956276461070776,0.09624043696586043,0.09783053616823628,0.09735409262690693,0.0973043431941606
1,far_focus,61.076,53.634,47.324,42.426,38.314,0.0946145765543729,0.09693979222971946,0.09821430901858956,0.10254934769164771,0.10510755575727672
2,fog_3d,59.52,45.38,33.536,25.482,19.752,0.09560335072156041,0.09795624513286166,0.09624174449484796,0.09409121020048856,0.09062419341454282
3,flash,42.676,38.768,33.582,26.868,18.234,0.09519665690766647,0.09790903303176164,0.09475991447791457,0.09458646939849481,0.09559961695265956
4,color_quant,67.094,65.75,60.794,43.598,13.176,0.08996804270967841,0.09200945889431983,0.09339032767023892,0.10709882349550724,0.17089027283757924
5,low_light,45.738,42.376,37.338,29.38,17.512,0.1004228424121812,0.1002760999644734,0.09978233685621991,0.09425884675893932,0.08305120768788271
6,xy_motion_blur,43.494,31.356,23.346,17.934,14.378,0.09928252731719986,0.10209817718816921,0.1045541075739637,0.10747450871715322,0.10889832970200107
7,z_motion_blur,39.822,32.526,26.624,22.486,20.18,0.10714785200882702,0.11882599074706435,0.1344605160153657,0.14665953639542684,0.15428569362124428
8,iso_noise,29.164,25.322,18.218,9.594,2.964,0.14172695887044073,0.150374102736488,0.17450948239263148,0.2140169670989737,0.2465156358479336
9,bit_error,37.28,31.466,25.522,19.49,9.532,0.10294033525852486,0.10917976690273731,0.1210951761788316,0.13851460086297243,0.1802283575211838
10,h265_abr,42.742,38.918,31.288,23.044,24.552,0.09783230962653644,0.0996076216385886,0.09810474045403302,0.09550581391293556,0.10000030529847369
