,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,57.654,54.392,51.154,48.264,45.466,0.11614405099974945,0.11514004885900765,0.11442035516105592,0.11243524371698499,0.10830607362855225
1,far_focus,58.788,51.946,46.178,41.686,38.048,0.11685117985574528,0.1162989703620784,0.10978037497721613,0.10545139914483763,0.10028281592026353
2,fog_3d,59.57,47.514,36.366,28.328,22.286,0.12110863254649565,0.11302470448969863,0.09568860933392309,0.0848086042457167,0.07257391661827453
3,flash,42.678,39.11,34.078,27.788,19.192,0.10437111609349958,0.101469460037034,0.09383312440592796,0.08482693489012308,0.07062322866151109
4,color_quant,64.534,63.828,61.214,50.71,24.566,0.11134111821070314,0.11135196441581473,0.11095258302606642,0.10721808492965997,0.09094856736877933
5,low_light,46.75,43.236,38.642,31.808,20.478,0.13109801912232302,0.13261805494136178,0.1349976814916637,0.13161808634909802,0.10068221822689287
6,xy_motion_blur,46.87,37.768,29.874,23.724,19.0,0.12580248360501603,0.11541191620122641,0.10167902602288872,0.0878573584938515,0.07903674496422522
7,z_motion_blur,38.508,32.312,27.01,22.972,20.942,0.10764897967334837,0.10171381904317066,0.1026158520959504,0.10204739133341238,0.10295492280943319
8,iso_noise,38.7,34.742,27.162,16.314,6.308,0.10005159746663644,0.09539021884925664,0.09612018342824653,0.12147934529429302,0.19398116570532323
9,bit_error,35.608,30.45,24.89,19.3,9.942,0.10775850357243791,0.09590395207064226,0.08186187844386324,0.0714238996078074,0.06662165912861004
10,h265_abr,39.878,36.918,30.156,22.94,24.458,0.12128031280974857,0.1185157323881425,0.10919096352124587,0.09262042700668797,0.09601097191520035
