,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,60.716,57.568,53.914,50.428,47.148,0.10692714639868588,0.10917754632856697,0.10616016459871083,0.10374489363422618,0.10102014303613455
1,far_focus,61.106,54.306,48.384,43.218,39.282,0.10539679795920849,0.1051038167245686,0.10193712595405056,0.09570616842206567,0.09379321682035922
2,fog_3d,60.88,48.318,37.302,29.348,23.29,0.11049346601327881,0.10287853674702346,0.09253638682487421,0.08095960202294401,0.07433512868435121
3,flash,40.446,36.218,31.076,24.344,16.14,0.09323583148010076,0.08695939650678076,0.08463673802474514,0.0822417816798389,0.07965452702233568
4,color_quant,66.292,65.862,63.026,49.06,17.636,0.10206092372197657,0.10473833105619997,0.10493774898642674,0.10164727615628391,0.1036776261369884
5,low_light,54.008,51.348,47.522,41.46,29.6,0.11851109927557409,0.11993179474206642,0.122898818572592,0.12871363579182885,0.11529821000610478
6,xy_motion_blur,49.18,37.508,28.268,21.488,16.906,0.10963219700431451,0.09979721358340234,0.08933587180252187,0.08081888891777024,0.078670196951963
7,z_motion_blur,43.836,36.204,29.95,24.674,22.15,0.10622087586861104,0.10130500951036811,0.09825943320432678,0.10213514386480674,0.1077627679639496
8,iso_noise,45.732,42.65,36.264,27.23,15.678,0.10201205007620155,0.10429375221669673,0.1119944819553569,0.13972058729499578,0.21666863210011272
9,bit_error,37.484,32.128,26.404,20.416,10.24,0.09630269888747484,0.08829815921724773,0.08632051952268928,0.09172641949975863,0.12576614434524439
10,h265_abr,43.158,40.862,35.22,26.694,28.468,0.10600481848292052,0.10243623058555648,0.10096792411872185,0.09182867614585906,0.09321002586718649
