,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,61.312,57.766,54.358,51.196,48.4,0.0972538720177859,0.09731199921771884,0.09619706303291023,0.09518879785876722,0.09740258327770979
1,far_focus,62.364,55.246,49.118,44.246,40.254,0.09496175030563027,0.09538066941613331,0.09342597731454298,0.09489710740929469,0.09550461974263191
2,fog_3d,61.704,47.766,35.894,27.762,22.056,0.0966466786916554,0.09850599287226797,0.09749499563230202,0.09260882530891336,0.08614956356391311
3,flash,41.856,37.746,32.478,25.666,17.052,0.09097035285111517,0.09220697203593328,0.09252752101566643,0.09586903296590783,0.10447897114430554
4,color_quant,67.914,66.948,62.3,43.782,14.454,0.09317498209094628,0.09224250086225569,0.09577222383823246,0.10040728196050971,0.15462960114344954
5,low_light,52.088,49.19,45.556,39.262,28.366,0.09807356177413837,0.09929174333505332,0.10191058389080689,0.10138182592563331,0.09480289391833358
6,xy_motion_blur,48.726,36.862,27.848,21.452,17.072,0.09887783064048737,0.095865587706808,0.09432164975870401,0.09586270118208602,0.09649798737082631
7,z_motion_blur,41.078,33.748,27.578,22.836,20.538,0.10189378594739362,0.10687919849194587,0.11833652186771855,0.13192675161078574,0.13788579621920363
8,iso_noise,33.458,29.178,21.414,12.264,4.496,0.12689338858641683,0.14106594636298717,0.1747218607993424,0.2267218122702837,0.2808636474759877
9,bit_error,38.242,32.538,26.432,20.318,9.876,0.09593280877469107,0.09892409153139219,0.10447942457289434,0.11932872595308348,0.1621102057761792
10,h265_abr,43.908,40.56,32.934,24.382,25.948,0.09870956597680226,0.09797213840525597,0.10024018660729751,0.10175379065249116,0.10404543550044298
