,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,62.256,59.208,55.69,52.38,49.022,0.1173531392740272,0.11805666444383561,0.11615706167075783,0.11203531039612367,0.11047368455708027
1,far_focus,62.63,56.044,50.112,45.182,41.008,0.11282974816441536,0.11345019133657216,0.10741782640090212,0.10358942434411496,0.09849900822399184
2,fog_3d,62.538,49.75,38.514,30.17,24.086,0.12315572844605893,0.11720563499867916,0.10158523661837913,0.08848343110069633,0.08077394386670553
3,flash,42.344,38.264,32.88,26.19,17.568,0.10171282207519747,0.09678844543959014,0.0901645363127999,0.08227440673764795,0.07500384466264397
4,color_quant,67.712,67.338,64.814,51.206,19.09,0.11265140191912651,0.11289777236361057,0.11544562603037804,0.11458158891832455,0.09919104379281402
5,low_light,54.87,52.282,47.968,40.694,27.188,0.13045825678659603,0.13812949246998876,0.14647510378120468,0.14995894000913948,0.1286169654881768
6,xy_motion_blur,50.172,38.518,29.22,22.586,17.78,0.11831049977943302,0.10583634527217597,0.09476589264085516,0.08409270880809054,0.0777585977508314
7,z_motion_blur,44.934,37.652,31.362,26.104,23.55,0.11249139150839299,0.10446753114175052,0.09742880643147975,0.09842659154163673,0.09909083127584309
8,iso_noise,48.99,45.972,40.058,30.846,17.986,0.1085807423986867,0.10538765188142657,0.10213383995994925,0.11297684159375727,0.15421528102096171
9,bit_error,38.86,33.568,27.57,21.652,11.112,0.09760738549816422,0.09012901635490358,0.08256884455367923,0.08292302426262758,0.1011194895131886
10,h265_abr,44.396,41.842,35.596,27.306,28.962,0.1111427763768658,0.10621953937871381,0.1034446373575367,0.09360498858157545,0.09622588192505761
