,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,60.066,56.66,52.91,49.426,46.37,0.09968123416665942,0.10097196539921686,0.0990260896631889,0.09766028448412195,0.09677219678541646
1,far_focus,60.906,53.236,46.614,41.696,37.724,0.0996145954812318,0.0998701377925463,0.09594671264367179,0.09712289662797004,0.09546901680512354
2,fog_3d,63.016,55.868,46.72,38.89,32.202,0.09960384853493422,0.10198186827891506,0.09663787371079438,0.09193410608748906,0.08747788729846477
3,flash,49.144,45.936,41.632,35.504,26.964,0.09419453394322656,0.09390277223898098,0.092264393348312,0.0883592834331654,0.08502463620279915
4,color_quant,66.894,65.992,62.91,55.226,34.166,0.09459135879691691,0.09685958946565167,0.09639244222171604,0.09703127078402787,0.0914532181470748
5,low_light,50.9,48.064,44.37,38.646,29.292,0.09976682725232094,0.10165597415333613,0.10142698250273242,0.10007577498171479,0.097121585538676
6,xy_motion_blur,46.35,35.078,26.36,20.374,15.942,0.09949566302295774,0.099714458111953,0.09625069470070302,0.09755889221733435,0.10133611221994274
7,z_motion_blur,39.66,32.628,26.658,22.078,20.008,0.10600580187961459,0.11163876810377464,0.12085488197661937,0.1336878239867836,0.14040719012293965
8,iso_noise,38.502,34.642,28.036,18.826,8.978,0.10053525419801473,0.09799189317675307,0.0965769292068109,0.0972051770069264,0.0884285206115432
9,bit_error,36.28,30.7,24.936,19.282,9.492,0.09631450838655234,0.09507144450884313,0.09568970591889694,0.09979942406361923,0.11885142119909636
10,h265_abr,40.338,37.054,28.128,20.196,21.588,0.10029680593842641,0.10064706747755409,0.10753014782889746,0.10855645153414457,0.11245415479801595
