,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,69.202,66.446,63.44,60.542,57.61,0.09216895406162366,0.0933532651161775,0.09484254383379594,0.09582422717548907,0.09600680109478534
1,far_focus,69.49,62.996,57.196,51.956,47.718,0.08951158774783835,0.09285609237393365,0.0939398536689207,0.09750079929698259,0.09771145017299801
2,fog_3d,69.284,57.304,45.084,35.882,28.862,0.09033202339276672,0.0952615123823937,0.08633739230720326,0.08089874094060621,0.07315557846166193
3,flash,52.058,48.024,42.49,35.138,25.116,0.09128662485598586,0.09098407982376404,0.09097310566622764,0.09119479648678563,0.084119671678124
4,color_quant,74.402,73.65,70.772,60.114,33.628,0.08495125906568021,0.08403806658430026,0.0886394913280569,0.09470877335600555,0.1126707363732718
5,low_light,60.674,57.83,53.948,47.474,35.684,0.09687029850687831,0.0989605056088604,0.10500299569660798,0.10841862190911547,0.10776669580789283
6,xy_motion_blur,61.186,51.7,41.684,33.398,26.442,0.09811463490586728,0.10071894364330918,0.09961239509971813,0.09867624065292999,0.09849180727245287
7,z_motion_blur,53.988,46.956,39.968,34.024,30.568,0.10054430871974677,0.1092609211099334,0.11806626121977344,0.13131494553139433,0.14018241842513904
8,iso_noise,56.566,53.422,46.184,33.582,15.424,0.1023512327992916,0.10526974594239145,0.11666285903817043,0.13144415479414165,0.14958234926935285
9,bit_error,48.202,41.348,33.928,26.31,13.16,0.09258297709168867,0.09306552429744974,0.09506331983884797,0.10510626584675163,0.1286807216911111
10,h265_abr,54.774,51.212,43.134,33.174,35.516,0.09758323004512116,0.09807305673880502,0.10018248171258717,0.09645581435482949,0.10139373999496921
