,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,67.9,64.98,61.828,58.906,56.18,0.3082225149716437,0.3000539839604031,0.28876996095755136,0.27727187832836064,0.2664705377882626
1,far_focus,68.578,62.13,56.466,51.818,47.61,0.3159345938687399,0.29791678698521107,0.274493258787794,0.25343505582797343,0.23196562474023552
2,fog_3d,70.126,62.168,51.906,42.922,35.536,0.3126602915311139,0.2910964543929417,0.24841671945832203,0.20696323490533047,0.17266464947980362
3,flash,51.65,47.602,41.828,34.44,24.084,0.2481624589037476,0.23153852726627608,0.20280044337410946,0.16763557900304907,0.1152221763550071
4,color_quant,73.608,73.102,70.296,58.182,26.91,0.316765838682726,0.31621751145714894,0.31205376880569385,0.2750045422442257,0.13345145573048853
5,low_light,62.786,60.94,58.272,54.0,46.204,0.3116511785934586,0.3091492080136389,0.30451169795126654,0.2925578702555876,0.26336065537672027
6,xy_motion_blur,55.598,43.884,34.734,27.848,22.856,0.2845027892069519,0.22875180779992602,0.18028441468276082,0.14313316874475218,0.11752229404560756
7,z_motion_blur,47.376,39.8,33.442,28.226,25.558,0.24039422614360695,0.20156051689397544,0.16727776723245158,0.14028690446006134,0.12708125306129922
8,iso_noise,59.708,57.268,52.654,44.72,31.558,0.2900555593343731,0.2794690532124229,0.25965339167468715,0.22428818192995154,0.15874685382126366
9,bit_error,46.952,40.184,32.968,25.458,12.868,0.20324917860618327,0.17111542273894884,0.13817323677982205,0.10542880935036111,0.06546771966643632
10,h265_abr,52.558,49.674,41.24,31.266,33.678,0.23140212052101736,0.22336202726922463,0.191409707716275,0.14667604094299488,0.15874382315796334
