,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,68.33,65.628,62.574,59.636,56.67,0.0889955091176927,0.09281218388777226,0.09112394045507535,0.09044530638469384,0.09166973477238789
1,far_focus,69.044,63.072,57.24,52.256,48.044,0.088217668100968,0.09071790683390572,0.09378948793258518,0.09327381279146299,0.09420654272075743
2,fog_3d,70.272,61.67,50.646,41.662,34.092,0.09178430700540542,0.09473137264674529,0.09257744198567235,0.08993509640409611,0.09013329758245497
3,flash,55.994,52.822,48.442,41.864,32.594,0.0932089566818159,0.0927307549435366,0.09279049281192943,0.09312013075451367,0.09030309794001282
4,color_quant,73.724,73.146,71.052,62.11,36.426,0.08631258512604982,0.08740584981579333,0.08959320450115948,0.09132323218066245,0.1023980632589385
5,low_light,63.422,61.832,59.398,55.514,48.506,0.09300081043418497,0.0954435485862568,0.09665184263169765,0.09799566937123426,0.0986213390244916
6,xy_motion_blur,58.562,47.322,36.688,28.802,22.686,0.09642692976575344,0.09889549074746669,0.09979537305995823,0.10070682894811965,0.10025147014161571
7,z_motion_blur,52.216,44.722,38.102,32.272,29.366,0.09925660064185038,0.10495526171704754,0.11460640141662211,0.1270648751424439,0.13398612108500674
8,iso_noise,64.78,63.842,62.578,60.022,55.544,0.09061128302555531,0.0913792263719067,0.09272321440216154,0.09325425138130784,0.09613112758703529
9,bit_error,45.738,39.38,32.616,25.346,13.016,0.09790970435643569,0.10006687983426266,0.10264978482523933,0.1138906907623075,0.13983516750034877
10,h265_abr,52.224,49.316,42.14,32.88,34.64,0.09775168130602688,0.10146376553762704,0.10634072940634563,0.11182318871051074,0.11150219119263813
