,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,69.598,66.65,63.348,60.128,57.128,0.09121771914817393,0.09494200522985309,0.09276001869484782,0.09397417043840513,0.09413761520329862
1,far_focus,70.418,64.082,57.94,52.636,48.162,0.08824734009368346,0.08987183770600707,0.09123643333842978,0.09484503805149347,0.10051295419180765
2,fog_3d,71.602,63.746,52.81,43.652,36.348,0.0905867418557033,0.09339020440034568,0.09481296572620049,0.09294657333324663,0.08990903202778659
3,flash,59.808,56.354,51.996,45.226,35.15,0.09214002986252308,0.09167380442352965,0.09365943059084006,0.09682474687983282,0.10355944162891247
4,color_quant,75.218,74.694,72.968,67.108,41.336,0.08458949304895476,0.08397425139496104,0.0868582614415139,0.08813352326298132,0.10138178012154997
5,low_light,65.606,63.696,61.03,56.854,48.338,0.09249163368403912,0.09301153495952487,0.09278985676676035,0.09619364774730056,0.0983670110857673
6,xy_motion_blur,58.4,46.654,36.056,27.792,21.796,0.09861296113349498,0.1026691648327373,0.10246515286173671,0.1045505031153746,0.10616226407913491
7,z_motion_blur,49.336,41.186,34.142,28.46,25.57,0.10439832020692527,0.1140429944441095,0.13197555096581579,0.14302643278613686,0.14988739521335812
8,iso_noise,59.584,57.302,52.596,44.536,31.004,0.098516329748258,0.09905765171833336,0.10155421303663403,0.10300616674510762,0.10474401379823685
9,bit_error,46.632,39.682,32.346,24.7,12.018,0.09660966749172657,0.09937897257154807,0.10721526241742074,0.11950061709996312,0.14848165729902685
10,h265_abr,53.054,49.476,40.554,30.008,31.852,0.09757782146370038,0.10484570219242945,0.11251736993838102,0.12119160705439747,0.1224697299772501
