,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,66.302,63.638,60.866,58.21,55.452,0.09889602909609675,0.09810584476605058,0.10023315879799426,0.10038837952823378,0.09787999069310725
1,far_focus,66.67,60.782,55.382,50.626,46.468,0.09601583889424802,0.09662956234021113,0.09592494859488682,0.09490865364100784,0.09355700329395011
2,fog_3d,68.006,60.784,50.648,42.138,35.328,0.09669302398753353,0.0998358679372631,0.09598428070432506,0.08991395185462199,0.08463602182502858
3,flash,52.166,48.8,44.328,37.958,28.976,0.09264917674528901,0.09444933651931584,0.09250885956036858,0.08776012249744497,0.08305915318294428
4,color_quant,70.978,70.31,67.502,57.082,30.646,0.09607135375160723,0.09466315270366148,0.09712411694724113,0.09642933648712933,0.09109177006894723
5,low_light,58.394,56.972,54.678,51.076,44.308,0.09949746726743877,0.1005931429418549,0.10225205348877237,0.10299553704122082,0.10079255657004192
6,xy_motion_blur,55.608,44.706,35.226,27.724,22.208,0.10045165445938706,0.09787618891820311,0.09406872432531789,0.092445062533319,0.08928057869952172
7,z_motion_blur,51.808,44.73,38.244,32.372,29.434,0.09918668742429465,0.10363039000479504,0.10997180555196479,0.11627931856112554,0.1212506168091856
8,iso_noise,56.958,55.376,51.832,47.584,40.244,0.09875170129820704,0.09809057839814574,0.09803903075894341,0.09835586369909347,0.09875464806297794
9,bit_error,43.574,37.67,31.264,24.474,12.578,0.09436266600785777,0.09283142718862743,0.09464998900920153,0.1014670969806239,0.12905346630772577
10,h265_abr,49.41,46.086,38.77,29.88,31.742,0.09996357544604689,0.10101865122789518,0.10165918470956385,0.10129852001318708,0.10629211741607636
