,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,34.208,26.33,19.318,9.164,3.462,0.14172515395443885,0.18574127753566952,0.22889310758579523,0.29634801906932146,0.3737865432077646
1,brownish_noise,53.694,46.236,36.322,26.416,18.102,0.09353866261092945,0.09824999662447721,0.12101937362458556,0.15219711911242456,0.20444799068246036
2,caustic_refraction,49.804,45.998,38.452,31.91,24.318,0.09473059438796715,0.09777481458768249,0.107542396177724,0.11690981260191649,0.1354557554488629
3,checkerboard_cutout,44.572,37.442,29.572,22.048,15.542,0.09709721542794257,0.10396137723635882,0.12228894158519804,0.1535960223831609,0.19111762959487735
4,cocentric_sine_waves,33.756,16.572,4.904,3.218,2.488,0.13337308111872523,0.2195027488552779,0.3535566270827502,0.3919882425140962,0.4194346743891016
5,inverse_sparkles,24.98,20.718,11.998,3.552,3.138,0.18482629075665027,0.22641181904736907,0.30784848657706754,0.45337066393310205,0.4715816691620648
6,perlin_noise,50.43,48.322,46.058,36.366,28.368,0.09473072407282888,0.09529850948624313,0.0970609679441899,0.10960307267969474,0.12543171749964357
7,plasma_noise,29.6,13.198,7.464,5.056,3.588,0.12583852004725485,0.21362129911333322,0.2633865720845014,0.2932364152345061,0.307331868613027
8,single_frequency_greyscale,33.388,23.054,18.424,5.844,4.91,0.11726488038741052,0.1504929692285508,0.1823220356240496,0.3138496338151023,0.336397356309481
9,sparkles,53.956,52.008,47.008,31.816,25.25,0.09213313426710665,0.0938120592795685,0.09637317851051688,0.12080693353071809,0.13594986102646217
