,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,61.114,56.844,50.448,31.9,17.738,0.10869618856193498,0.10729691105428152,0.10610793176112697,0.1072419626484625,0.15021293756403029
1,brownish_noise,63.23,57.31,50.962,44.208,38.06,0.11107412493370473,0.11098310888655484,0.10954482547599823,0.10307487202528864,0.10070162216512486
2,caustic_refraction,61.08,58.628,52.862,47.49,40.52,0.11150407620390877,0.11292385837502777,0.10993252663824707,0.10604191869815811,0.10036574945513159
3,checkerboard_cutout,58.744,54.214,47.826,41.006,33.486,0.1165368195604533,0.11711642250772565,0.11097959399908781,0.10279978767056018,0.098581537165232
4,cocentric_sine_waves,44.848,25.058,8.47,6.024,4.322,0.10136633267294616,0.15039953568726777,0.32431645104818047,0.3704454762971774,0.40851676126264036
5,inverse_sparkles,29.47,22.374,12.78,3.79,3.38,0.11894940914636477,0.15300021366002037,0.22128021334897727,0.3564813978999108,0.36768014584809544
6,perlin_noise,61.596,60.378,58.764,52.926,47.81,0.11624698093697429,0.1185755667787604,0.11821953551389278,0.11964586874341593,0.12026766201538965
7,plasma_noise,46.086,29.818,20.542,15.788,12.4,0.10501209996027872,0.09557618016475812,0.11433546583473682,0.13891619594290852,0.16098970218911768
8,single_frequency_greyscale,49.03,38.992,30.058,6.374,5.122,0.11076390702027827,0.10009514813309535,0.10593063715368509,0.26715836364492773,0.2936164713388309
9,sparkles,65.242,63.63,59.16,46.17,39.378,0.11014302605612203,0.11355995122121647,0.11793277753626928,0.11105769693160429,0.10552845284502953
