,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,45.942,40.66,36.468,23.744,11.272,0.30444950034575535,0.26973663846510465,0.24601471638929098,0.16134184387582354,0.08398008108099922
1,brownish_noise,63.752,61.094,57.87,54.114,50.514,0.3917044413962681,0.38304874893722124,0.37129143964279443,0.35426931909429377,0.3376464324118756
2,caustic_refraction,59.654,56.512,50.03,43.842,36.196,0.38643302443765104,0.375006374727115,0.34616276690090075,0.3114453267632425,0.26223274689082987
3,checkerboard_cutout,56.57,51.29,44.714,37.572,30.346,0.37777197345954366,0.3524427444224898,0.3146684186640754,0.2670793382690847,0.21597504579678178
4,cocentric_sine_waves,43.564,23.09,8.298,5.336,4.374,0.29023755010446534,0.14840763106215746,0.13180476181489414,0.15126968945888802,0.17418622879933565
5,inverse_sparkles,41.176,34.038,21.602,7.284,6.478,0.27805849072325045,0.2269132772835903,0.1376214571398869,0.06410345403612591,0.0643685005141981
6,perlin_noise,61.798,60.958,60.072,55.928,52.154,0.3895308432868728,0.3871855566189811,0.3847489976283256,0.3666277977736201,0.3482822511711158
7,plasma_noise,53.744,42.286,34.19,29.306,24.68,0.3504050482476223,0.28473649782017807,0.23017435759240762,0.19644388236005791,0.16035865260756574
8,single_frequency_greyscale,58.112,53.462,47.052,17.856,13.892,0.3765894445001427,0.3561117766854167,0.3185898923592828,0.10906283133940771,0.08422211896826513
9,sparkles,63.722,62.09,58.072,47.228,41.106,0.39678557454195806,0.3967113982776552,0.3875737493763212,0.334408648270173,0.29582155541434885
