,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,49.308,42.886,39.368,29.934,18.0,0.11828423145573586,0.15339572776146232,0.14710871512386947,0.1395201938853599,0.17228160116482527
1,brownish_noise,67.034,63.148,58.698,53.54,48.242,0.09257697709962726,0.09527071672242135,0.09825268588300794,0.09845366142630577,0.10121352795258165
2,caustic_refraction,61.896,58.162,50.226,42.862,33.78,0.09448586570683867,0.09769782968908548,0.10247521618187427,0.10287676678650082,0.1084552118665725
3,checkerboard_cutout,58.556,52.616,44.57,36.214,27.614,0.09567760483071208,0.09634529316447675,0.09920833781700582,0.10506256170157344,0.11390333423510193
4,cocentric_sine_waves,45.78,25.552,11.242,7.856,6.616,0.10447536977086216,0.20937495824359356,0.40483193159006536,0.45319530228648336,0.48305263022944334
5,inverse_sparkles,42.286,32.24,17.562,5.224,4.77,0.11288138321623206,0.13956343150844797,0.20554070128165186,0.32298287909185514,0.33602643530340864
6,perlin_noise,61.884,60.048,57.862,49.778,42.386,0.09329820181258022,0.0958612273847498,0.09940168854245916,0.10102438859052956,0.10573438129784539
7,plasma_noise,50.914,34.402,24.708,19.478,15.396,0.09711178865332157,0.11109107884146273,0.13874144306194036,0.16694765709672124,0.19528572725564242
8,single_frequency_greyscale,62.482,58.506,53.934,33.13,30.7,0.09410985102042556,0.094612605415266,0.09466625051133334,0.1183562784968689,0.12506098023580386
9,sparkles,67.348,65.87,62.176,51.186,44.894,0.0918462771011144,0.09455637472435832,0.09586537991214543,0.10222735766872763,0.10279955540452153
