,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,59.516,56.332,52.866,43.76,35.746,0.09710322810370475,0.10123413907393813,0.10177224077261984,0.10820234816361218,0.11541481667265296
1,brownish_noise,66.53,63.492,60.222,56.438,53.03,0.09507099378302693,0.09779165505487472,0.09863594230100513,0.09876249930698425,0.10059741066811606
2,caustic_refraction,62.812,60.282,53.914,47.876,40.288,0.09444409829303622,0.09630885781109333,0.09765363960657268,0.09668207867261022,0.09616969875983894
3,checkerboard_cutout,59.01,54.062,46.296,38.518,30.068,0.09432986693922431,0.09789839368496091,0.09743769781909883,0.10147337800446898,0.10851701511852443
4,cocentric_sine_waves,51.262,33.308,18.122,13.914,12.768,0.09989659163527191,0.1445409488882497,0.29991306293472647,0.34756240475788713,0.38241624822515996
5,inverse_sparkles,47.04,38.252,22.542,5.968,5.058,0.10363017606252804,0.11699673313157632,0.17772207028020173,0.3202192649706267,0.34372155387705194
6,perlin_noise,63.58,62.506,61.338,56.566,52.264,0.09471008492875845,0.09340106548976153,0.0936539290371351,0.09663693512056024,0.09776345709986985
7,plasma_noise,57.444,47.556,40.516,36.072,31.952,0.10112970085833221,0.09894279375910758,0.0963636569093354,0.09486087405340746,0.09511473951412365
8,single_frequency_greyscale,63.432,60.906,58.15,45.344,44.994,0.09386357580415905,0.09558294191047549,0.09377370265241712,0.09910588313486426,0.09914664610292763
9,sparkles,66.676,65.07,61.394,53.12,48.588,0.09233069112660364,0.09464679220778868,0.10001713182391599,0.10895520450716838,0.10794890656026081
