,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,64.722,58.24,52.476,42.916,31.396,0.09674357667256146,0.12124386278990656,0.15275481855943798,0.15278859383188187,0.16435273904003203
1,brownish_noise,74.518,71.91,68.482,64.48,59.482,0.08651113203600048,0.08768829400464892,0.09427597065765411,0.09413002321861684,0.09761292092716321
2,caustic_refraction,69.35,65.624,57.136,49.256,39.132,0.08930655067771673,0.09357693753957748,0.09934701944906264,0.1033542795297131,0.10640066969472915
3,checkerboard_cutout,64.958,58.29,49.632,40.892,31.23,0.09747520413197577,0.0984054259293154,0.0970656561904028,0.10264175292979925,0.11672161891110241
4,cocentric_sine_waves,56.526,33.054,17.796,13.608,12.45,0.10044196589946747,0.19498627082850783,0.38110913846313954,0.4359799034951255,0.4597446686895937
5,inverse_sparkles,50.66,36.848,18.184,5.394,4.906,0.1052156900396943,0.13506641808282585,0.2169526745285094,0.3089247439137101,0.3177589545216039
6,perlin_noise,70.074,68.416,66.516,58.78,51.174,0.09053064790045842,0.09269880662061274,0.09361012338127941,0.09942868053162471,0.10362013374902308
7,plasma_noise,63.036,46.664,34.484,27.246,21.514,0.09762326284404844,0.09888606740020216,0.1157291429714486,0.13698068172082306,0.16261343376480042
8,single_frequency_greyscale,72.06,69.172,66.296,56.26,56.134,0.08629491367932408,0.08664264438018203,0.08848879856079817,0.09408549572817981,0.09578669654844328
9,sparkles,74.284,73.282,70.69,61.754,55.808,0.08589568381883204,0.08718391214933247,0.08966220251277089,0.09657396616339683,0.1000888198006153
