,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,69.89,65.9,60.074,47.662,37.22,0.08911890082329511,0.09424513000845909,0.10996500908248126,0.1388746290418133,0.1433375648086518
1,brownish_noise,74.514,71.362,67.134,62.906,58.57,0.08533262356959283,0.09010722086656839,0.09572411538437009,0.09857411516766995,0.10025270260341465
2,caustic_refraction,69.38,65.864,58.312,51.188,42.044,0.09090397892612964,0.09330301170824096,0.09683173698991537,0.10813583089761436,0.1145636073165387
3,checkerboard_cutout,66.402,61.314,54.284,47.428,39.812,0.09126747282959521,0.09712064496904611,0.10164999306831508,0.10650337555095553,0.11356470337230712
4,cocentric_sine_waves,51.996,27.328,11.624,7.776,6.282,0.1140118740952015,0.2388348283917457,0.43890190556969494,0.48935226794805375,0.5129442238320783
5,inverse_sparkles,44.168,34.884,22.568,10.158,9.718,0.13739902704656123,0.167904114261996,0.22323119197377936,0.2833213840763457,0.2867043560800515
6,perlin_noise,70.834,69.496,67.924,61.848,56.112,0.08996434852015227,0.09167623376395553,0.09083833418501541,0.0974730857854709,0.10182564347902313
7,plasma_noise,60.782,44.718,33.726,27.54,22.084,0.09684203971736133,0.11006570553600788,0.13202631835103035,0.14994582483369856,0.17431993829399348
8,single_frequency_greyscale,67.99,61.534,55.284,24.394,20.718,0.09143250191353261,0.09727364097025246,0.09975816027667374,0.18211402161121368,0.1985151331161894
9,sparkles,75.394,73.854,70.976,63.45,58.326,0.08284115071356296,0.08494631433267147,0.08874376073811203,0.09523111841704697,0.10137865307394416
