,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,63.868,59.982,54.882,46.096,37.452,0.09625001911770552,0.09843722271930426,0.10184277566840873,0.10643952440101653,0.11241785849500448
1,brownish_noise,70.09,66.074,60.876,55.358,49.388,0.09709330764211714,0.1012323984130472,0.1030503155795671,0.10435876451548189,0.1049035691536963
2,caustic_refraction,66.832,63.784,56.994,50.784,41.986,0.09852720549087972,0.10157563811201602,0.10394421397890896,0.10429389421597123,0.10110017615761607
3,checkerboard_cutout,62.924,56.706,48.19,39.794,30.252,0.10133315525300801,0.10241993781987578,0.10059302882842719,0.1014287533236295,0.10491779223967343
4,cocentric_sine_waves,52.348,30.618,15.012,11.082,9.866,0.10581429458688944,0.19385183856813237,0.38079256484352053,0.4302119822197408,0.4568158304514736
5,inverse_sparkles,45.868,37.574,23.364,7.492,6.644,0.10769654294699431,0.12352992904566229,0.17613949587725103,0.2491398491273448,0.24585902412761002
6,perlin_noise,68.044,67.046,65.762,61.102,56.308,0.09619694824911654,0.09590860693644732,0.09583393284447492,0.0985096755864285,0.09846445932622999
7,plasma_noise,58.598,45.322,36.274,30.706,26.332,0.10223219029903412,0.09989908683817833,0.1013334658787027,0.10653101660264656,0.11347695048686117
8,single_frequency_greyscale,56.206,45.744,38.418,15.344,14.47,0.09848125076580792,0.10549379258565604,0.11979288171976804,0.3251278674596921,0.3469805961930752
9,sparkles,71.174,69.678,66.446,55.724,49.67,0.09515323283534496,0.0950625479523465,0.10104623438298702,0.10885227421984077,0.11162498873552308
