,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,59.076,54.0,49.906,41.29,28.43,0.09595607180014253,0.10327792022649199,0.10847196011621504,0.11750328920677304,0.12974212261728943
1,brownish_noise,71.876,66.534,60.396,53.524,47.038,0.0864996072788164,0.09225840575475246,0.09975024002943188,0.1050834432078898,0.11307301816154271
2,caustic_refraction,66.214,62.654,54.868,47.91,39.174,0.09192417919248343,0.09490544449262321,0.09738691559031605,0.10199502912953495,0.1054748989482224
3,checkerboard_cutout,64.346,57.894,49.246,40.276,30.808,0.0901840347751975,0.09774044664904476,0.10402659352958202,0.1235168874105066,0.14717658787995577
4,cocentric_sine_waves,42.81,18.268,5.258,3.304,2.554,0.1312849999871105,0.2742986168026924,0.46064333587817846,0.5079933766757697,0.5332074050555379
5,inverse_sparkles,36.972,29.282,18.276,7.618,7.098,0.12563385905805977,0.15403768011357635,0.2328865190114267,0.28842830515660345,0.28366859917253257
6,perlin_noise,68.316,66.538,64.754,57.37,50.916,0.0901361005904898,0.09195996851351113,0.0932730467223376,0.09840342856723815,0.10230574706042185
7,plasma_noise,53.806,34.61,23.668,18.096,13.566,0.10196395155478269,0.15195167775660753,0.21079251776967198,0.2537581793141365,0.29560853071913124
8,single_frequency_greyscale,44.864,31.146,22.198,4.444,4.226,0.12556774336557835,0.18026665632959454,0.2540598283692822,0.5858255024727806,0.6262554706820845
9,sparkles,73.33,71.364,66.956,54.854,47.8,0.08327639095917344,0.08703931876722723,0.09183548031635583,0.10186191653583199,0.1065166487460211
