,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,54.852,51.492,45.952,37.836,27.558,0.02999540472149849,0.03249763132877648,0.03716639921737835,0.05335567214876413,0.09123693199403585
1,contrast,35.452,23.848,11.124,2.242,0.732,0.05303798077557236,0.09442860898977146,0.15236651249367744,0.18362972791742532,0.09607176156684756
2,defocus_blur,34.366,26.8,14.958,8.632,5.286,0.0339545396935381,0.04161207718765363,0.059723723505903034,0.055173602853380146,0.0495606174216792
3,elastic_transform,47.4,29.88,44.316,35.922,19.446,0.02457617399148643,0.06458003019433468,0.03347606538232416,0.06342595598330722,0.15986717477886006
4,fog,32.53,23.954,15.622,12.738,5.5,0.06742420453853905,0.10424253613857552,0.15054268938705326,0.16864398810960352,0.2093832394746132
5,frost,38.61,20.27,11.21,10.058,6.568,0.047831919863335785,0.13373276130445302,0.18881672190226614,0.20061174811914564,0.22455696436315775
6,gaussian_noise,30.474,17.46,6.444,1.862,0.548,0.08608354653257877,0.1398937185661122,0.19795382061347366,0.20666841224465518,0.16922950246347115
7,glass_blur,35.69,24.94,11.196,8.376,6.654,0.040210623347871004,0.060090718542244285,0.13160731275403872,0.14003245054231955,0.11743097284004092
8,impulse_noise,21.624,10.19,5.132,1.28,0.452,0.12570347424216569,0.182195466244407,0.20688237167924642,0.20029204619780183,0.16374845889549702
9,jpeg_compression,48.998,45.284,42.708,34.544,25.224,0.0343058732175827,0.040584880193136635,0.049308161177635194,0.0800077603328973,0.11992023857489228
10,motion_blur,41.566,29.946,17.894,10.25,7.36,0.026727713443432003,0.03876329886093736,0.08213191524835303,0.11915934290040284,0.1329718326194212
11,pixelate,47.79,45.382,26.274,12.91,8.738,0.057573426494654266,0.06717712462812662,0.1476707239015028,0.22732573624055832,0.23524488830279558
12,shot_noise,28.776,14.898,6.424,1.816,0.854,0.09804247756551951,0.16209104737315327,0.20160320881862193,0.19553159326609224,0.1721075205926597
13,snow,28.268,11.61,13.532,8.13,5.048,0.10925695299144834,0.17570765413578598,0.1719112513047084,0.19168809323135763,0.21135245997490362
14,zoom_blur,29.986,23.006,19.206,15.802,12.804,0.06847187843853608,0.10082131782451645,0.11830972572792321,0.13374423987532036,0.15130227125583218
