,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,74.4,73.142,71.006,67.288,61.55,0.08176968013614416,0.08307076620589941,0.0866281054585427,0.09243699285231531,0.10309719623940065
1,contrast,71.54,69.818,66.744,56.742,36.508,0.0914647955493629,0.0948641185790114,0.09895203689027578,0.1050292809792608,0.1112610321094282
2,defocus_blur,60.722,54.45,41.93,31.212,22.756,0.1043194209722057,0.11143391345949843,0.13218970549350603,0.14604947045460343,0.15662887521777302
3,elastic_transform,67.666,45.826,61.808,50.942,28.534,0.0900011250745505,0.12875014847617597,0.10403332689724863,0.1310335510759428,0.22760033712666483
4,fog,68.618,65.814,62.29,60.822,55.596,0.10860424636051058,0.11331452556256205,0.12628740957196802,0.1416230704961717,0.14506338531449436
5,frost,67.588,58.204,49.724,48.996,43.07,0.0893833889619261,0.09753775523420423,0.10457917764756829,0.10502915875244885,0.10867531309612095
6,gaussian_noise,65.428,56.902,42.772,25.59,9.74,0.09519105329953134,0.10516111699990928,0.11968329883024097,0.12528093656545505,0.09934416632225737
7,glass_blur,56.922,45.278,21.796,17.552,15.146,0.11296816500727087,0.14048447953045368,0.23086295807208865,0.24044237399952487,0.22548363081058487
8,impulse_noise,59.388,49.368,40.926,23.516,9.186,0.10138966189734638,0.11345448077155278,0.11981104801496491,0.11985428383430466,0.09600285554053262
9,jpeg_compression,66.288,63.392,61.108,54.088,44.798,0.09931341826036573,0.10461205036882311,0.10844507396463304,0.11926608198236674,0.13594582253539936
10,motion_blur,66.716,58.256,45.698,32.774,25.776,0.09236815469443799,0.10030474314186721,0.12145066534426063,0.15080347826976329,0.16844268842875956
11,pixelate,62.752,57.472,41.54,25.954,18.518,0.10106389667332172,0.109210757894665,0.1372163508089259,0.17434133101349697,0.20022514792360366
12,shot_noise,63.732,53.03,38.152,17.71,8.112,0.0990387334755063,0.11263024054061621,0.1270093649833463,0.12918508687419816,0.11309663692571223
13,snow,60.906,43.114,46.998,37.578,30.196,0.09911202511921526,0.16152809232313187,0.13955189640246332,0.16672170554049312,0.2234606807956472
14,zoom_blur,50.844,41.96,38.476,31.926,28.19,0.12546820415526627,0.14985417914256455,0.1552289633056894,0.17872171858858318,0.18472129131488502
