,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,76.492,75.346,73.508,70.236,65.388,0.08216089729506522,0.08352699051752686,0.08692423153419047,0.0932595540284738,0.10184168653840199
1,contrast,74.384,73.086,70.618,63.274,47.622,0.08881919983182103,0.09244748680204153,0.09608473117485643,0.1024306846983172,0.1128153676833585
2,defocus_blur,65.17,59.766,48.384,37.42,28.24,0.10302895649094135,0.10807523101668805,0.12571622429417445,0.13811979437476024,0.1493418169819005
3,elastic_transform,70.05,49.256,67.942,60.124,38.86,0.09106337038617582,0.13261381091222166,0.09714182285107673,0.11498224977459759,0.18762257844246924
4,fog,71.43,69.044,65.85,64.22,58.63,0.1058450544666499,0.11359243068516255,0.13510839869210498,0.1500234632646665,0.1508038467149064
5,frost,70.054,61.596,54.414,54.108,49.176,0.08778840270772577,0.09871885986369103,0.10843966631107033,0.10347505640711635,0.10784299078401179
6,gaussian_noise,73.086,70.88,65.14,55.454,41.464,0.08396247012417764,0.08811753407320008,0.09525421084355563,0.12773247916396707,0.18471982138914989
7,glass_blur,63.902,54.668,30.64,24.546,19.294,0.10661921808488667,0.12350694147706032,0.1941256814976968,0.2094807048243098,0.20628683134067805
8,impulse_noise,70.452,66.262,61.61,50.828,40.032,0.08872282823495567,0.09872152611233294,0.11525538567386567,0.16098059984765947,0.20822133805204182
9,jpeg_compression,70.652,68.496,66.984,61.596,53.826,0.09443587815791368,0.09889920713581145,0.10333582181621342,0.11494276678372174,0.12993481891700998
10,motion_blur,70.732,64.332,52.77,38.138,29.596,0.08875735462591051,0.09724341997377574,0.1141428926075995,0.1462572186224535,0.16701985936712474
11,pixelate,72.856,71.066,61.53,46.59,29.96,0.08839176629442722,0.09359689761303365,0.11049074447635561,0.14290888000506907,0.20523791214592754
12,shot_noise,72.416,68.974,62.566,49.518,39.688,0.0849886210718006,0.0914444496653974,0.1046197871459648,0.14461172430124133,0.17186549812177196
13,snow,65.956,52.178,54.272,44.958,39.4,0.09869101563952863,0.12739478306192906,0.12152737021684647,0.1415663606067747,0.1657182515965216
14,zoom_blur,55.018,45.664,41.056,34.472,29.462,0.12482515823967755,0.15061189008541406,0.16241604007620364,0.1852750823583454,0.1952868414778635
