,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,74.768,73.048,70.288,65.938,59.208,0.08461287128921598,0.08872495935253799,0.09426108834741637,0.10038331331280992,0.11257718948610126
1,contrast,67.94,63.048,53.342,25.604,3.524,0.2252060137430951,0.29073293655114246,0.3248491510568,0.18175831745360047,0.04003146104425192
2,defocus_blur,60.83,54.67,41.9,30.062,20.488,0.10496025722842664,0.11075081525493413,0.12214992741286755,0.1265877081508003,0.1306172891032882
3,elastic_transform,68.004,47.77,64.218,55.512,33.736,0.09356058018829673,0.1378268632309884,0.10433653999082744,0.12401288890246302,0.19973692951459437
4,fog,63.496,57.228,49.008,44.766,35.722,0.244057188128978,0.2618776177617535,0.2618523467253521,0.24488026124710216,0.20574430301848798
5,frost,65.998,54.866,45.614,45.116,38.724,0.0950598752908036,0.1032664872918278,0.10743554704517126,0.1087851832100749,0.10795824833106249
6,gaussian_noise,63.066,50.716,31.686,13.494,2.698,0.10820713386289775,0.13206914008047432,0.16906509802933783,0.18960367053985597,0.1555958559282869
7,glass_blur,58.934,48.896,26.442,20.852,15.706,0.11434235160741955,0.1317266269357875,0.1898441593012959,0.19637853094138205,0.18503770024217664
8,impulse_noise,55.524,41.168,29.956,10.456,2.05,0.12009570691566915,0.15112335961665957,0.1700868524301052,0.1831068555572629,0.1495690597525239
9,jpeg_compression,68.272,65.352,63.112,56.302,46.19,0.09902858595430851,0.10201681713290513,0.10525088531378657,0.11444434299595654,0.12541974545698614
10,motion_blur,66.864,58.654,45.626,30.614,22.352,0.09543243837684393,0.10482803793929517,0.12344364747043698,0.15123174110960216,0.17101110253216698
11,pixelate,65.47,62.032,49.708,35.166,25.678,0.09924943908218295,0.09940758103869855,0.13069108622159809,0.1799573989732191,0.21885720573700965
12,shot_noise,61.044,46.152,28.06,8.816,3.034,0.11216292530693114,0.146498646938093,0.1823207419122383,0.1971839130261913,0.17161862395677716
13,snow,58.466,36.304,40.242,29.104,20.532,0.11473901472233236,0.19044143151424825,0.17588470707830042,0.21210086791846902,0.275403112590909
14,zoom_blur,51.964,43.536,37.672,31.23,25.648,0.11769452917095274,0.13440801980800926,0.14027278508767485,0.15973997544534504,0.16585466748479755
