,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,76.108,75.03,73.252,70.474,66.392,0.07967241594463587,0.0801031729350239,0.08414816522428765,0.08867015934742987,0.09348359308291226
1,contrast,73.844,72.026,68.358,57.04,35.124,0.12014647932989522,0.14229944128658623,0.18272557647546753,0.24099889888085424,0.17978850600797683
2,defocus_blur,65.938,61.372,50.344,38.644,28.014,0.09590403605958447,0.10002225429337472,0.10929670734461397,0.11712983828486875,0.12304519219860434
3,elastic_transform,70.266,54.21,70.874,65.384,44.81,0.08605229638069868,0.10545491792362183,0.08733304846130312,0.09360562786282972,0.14810356421506032
4,fog,68.99,64.57,57.384,51.18,38.902,0.18216742790207266,0.20658284506917,0.2375917713858746,0.21941114307034762,0.16902617210369558
5,frost,70.344,62.204,54.984,54.224,49.402,0.0857035431805998,0.09547835567638278,0.09828285440884531,0.09975368704892695,0.10482718136534094
6,gaussian_noise,73.57,72.234,69.08,63.294,54.592,0.08417916221540421,0.08680012504134327,0.09126402230113745,0.09840240556139498,0.10718214818317442
7,glass_blur,66.804,59.562,38.324,31.626,25.196,0.09493263818265871,0.10874313523642719,0.15104838505957274,0.16424238326909021,0.16320006881576032
8,impulse_noise,72.752,71.22,69.45,64.004,56.766,0.0852983430572413,0.08960489920303226,0.0896234652174823,0.09818665193561464,0.10645421829242259
9,jpeg_compression,72.04,69.766,68.286,63.686,56.744,0.08890813256006688,0.09412791932195425,0.09371942832995206,0.1025097364923358,0.11274463935483248
10,motion_blur,71.314,66.07,54.576,38.476,28.228,0.08521001449834556,0.09027771577682346,0.10155329417528584,0.11943930773556233,0.134506555724144
11,pixelate,74.91,74.444,69.252,57.96,44.446,0.08204381160834805,0.0805859159149602,0.09119071167407557,0.10845007239516824,0.1342853134319745
12,shot_noise,73.516,71.554,68.358,61.232,55.06,0.0835941588962078,0.08765398153115064,0.09268615933433175,0.10341235891293735,0.10877280160669238
13,snow,66.39,54.148,54.01,43.866,44.208,0.09140237286016345,0.11091546970542521,0.10953414679184556,0.12761510808493942,0.13020274576721713
14,zoom_blur,59.62,50.894,44.42,37.684,30.95,0.10328403275482356,0.12157097698288039,0.13253936807088554,0.15394249185450376,0.16662568684622645
