,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,76.026,74.6,72.032,68.338,62.546,0.08203923702299595,0.08429620943836867,0.08826857662368566,0.09593661142488942,0.10337908519188874
1,contrast,70.548,66.396,57.572,32.002,6.98,0.2272146676562354,0.30999786644076927,0.36488365753503516,0.23787654246550052,0.048734037368372084
2,defocus_blur,64.134,58.858,46.966,35.654,25.684,0.10060035405568779,0.10776494181595743,0.11785590938400477,0.12391728069040925,0.13238249220618978
3,elastic_transform,69.36,49.088,68.494,61.7,41.706,0.09047688475247473,0.1229799237940088,0.0923572951008752,0.1056515114114061,0.16150378913007676
4,fog,64.018,56.968,49.238,47.068,37.478,0.24986229483732952,0.26325057171098887,0.2721783190501295,0.26876102473730223,0.21047925629636272
5,frost,68.37,58.228,49.814,49.48,43.502,0.09239714339066296,0.10122174410950392,0.10711773485880345,0.10935302260365337,0.11090474103938788
6,gaussian_noise,71.702,67.906,59.582,46.276,28.17,0.08494925512161106,0.09345013584651053,0.12346376886747777,0.19920428285378963,0.35020392194453626
7,glass_blur,63.402,54.622,32.37,26.302,20.462,0.10634044394440949,0.1213874784514308,0.17870806280560791,0.18967564846174792,0.18421807346578686
8,impulse_noise,63.618,55.38,49.04,36.45,24.39,0.12116129275768996,0.17270609345011412,0.21779448069211096,0.31540572441231457,0.4213509837681428
9,jpeg_compression,71.084,68.942,67.394,62.226,54.326,0.09107060112312436,0.09513167748510838,0.09732638829492032,0.1029618680421263,0.10659894703827798
10,motion_blur,69.666,63.466,51.314,36.94,28.204,0.08802502403367311,0.09562148296274245,0.10727223435197025,0.12276901625748723,0.1369333219363168
11,pixelate,73.008,72.006,62.602,47.152,34.49,0.08723797289613634,0.0887569462281093,0.10271779082741589,0.12627167634077371,0.1572805285642296
12,shot_noise,70.538,65.176,56.292,40.09,28.344,0.08858172978077083,0.10268227417167276,0.13899249794583768,0.23277758153907954,0.308742856916897
13,snow,63.72,46.486,48.196,36.906,31.374,0.10217769963279366,0.14377478531084956,0.14121496594090013,0.1700052429009974,0.19678566248200835
14,zoom_blur,55.938,46.808,41.008,34.478,28.354,0.10904081789765507,0.12578639621850102,0.13031974936816842,0.14962179655272514,0.15726773123912513
