,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,75.512,74.548,72.822,70.338,66.544,0.0810105635880679,0.0826743491942063,0.08701742039801554,0.088180735537,0.09525451896283775
1,contrast,72.03,70.218,66.044,51.572,25.61,0.110115573183503,0.12067297836691142,0.142060479832273,0.17816859672673047,0.10017364021060988
2,defocus_blur,62.83,56.524,43.146,30.818,21.36,0.10234495766621084,0.10691626685667784,0.11428051005238667,0.1199787769497931,0.12518848151866346
3,elastic_transform,69.884,50.088,66.086,56.88,33.206,0.08889825702201574,0.11852885524287819,0.09698080809539183,0.11200766172351316,0.17933730461612343
4,fog,66.754,61.23,52.42,49.002,40.406,0.19792663544490932,0.22948171924013644,0.2716018479181081,0.27547986901458354,0.2466165171570517
5,frost,68.984,58.876,50.044,48.658,42.27,0.09839089145552367,0.12208811425603926,0.12178332520730793,0.12466760750479997,0.1199945646841079
6,gaussian_noise,69.27,62.652,51.202,35.868,18.18,0.08990421103596688,0.09687785672415047,0.10689111466754228,0.10947045218322426,0.09578061127653345
7,glass_blur,63.296,53.018,28.304,22.088,16.658,0.10245938658876344,0.12123949214207008,0.18563616619659587,0.19171425172641873,0.18488829721959307
8,impulse_noise,64.294,56.826,49.776,33.624,18.12,0.09395153990346938,0.10121017498511821,0.10703384575257077,0.11011869004568085,0.09532335178699344
9,jpeg_compression,69.176,66.404,64.548,58.162,48.914,0.09297756407871842,0.09905753489959986,0.10235799977630376,0.11150020154822618,0.1246956562648341
10,motion_blur,69.618,62.784,50.422,35.09,26.256,0.09030574755853042,0.09540759548431263,0.104295744960811,0.119868837451227,0.12955594254072755
11,pixelate,68.292,60.21,52.45,36.748,24.218,0.09594636513562874,0.10349513444881886,0.1049461047531478,0.12404313529444859,0.10578293762045912
12,shot_noise,68.18,60.164,48.752,29.782,17.942,0.09259718473821879,0.09976692313378677,0.10890786017421633,0.11435366281358525,0.10556403045567683
13,snow,62.884,46.238,50.572,41.762,34.402,0.09653151836901903,0.11999611957164481,0.11038134923912585,0.12443961530165747,0.1717162442661263
14,zoom_blur,53.154,44.012,38.046,31.412,25.694,0.1112986017411016,0.1294147189310193,0.13637389067992567,0.15510244651941582,0.1625183010647446
