,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,76.114,75.166,73.528,71.086,67.554,0.07987379384733737,0.08142864438146352,0.0841939283850789,0.09105704963270575,0.09273425924284384
1,contrast,73.578,72.178,69.268,60.552,44.342,0.10782991514388472,0.11304412672586739,0.12968143591104075,0.16465629398081452,0.15010198998058213
2,defocus_blur,65.18,60.114,48.138,36.392,26.04,0.09527214379940183,0.09828577538847923,0.10739834546990693,0.11622423382949085,0.12340786326998844
3,elastic_transform,70.41,50.804,68.876,62.358,41.256,0.08446536028176546,0.11166227486029268,0.08896733693547547,0.09944300586383789,0.14864085195761173
4,fog,67.39,61.77,53.124,49.556,39.82,0.21796872462391853,0.25081306926943364,0.27997021415432916,0.2776046084754914,0.23558624494399874
5,frost,69.992,61.156,53.404,52.222,46.402,0.09718790126431734,0.12641654467780142,0.13887360224865378,0.14535567065387964,0.13963658292327077
6,gaussian_noise,72.064,69.416,64.146,55.558,41.24,0.08565721704985946,0.09073803528092801,0.0946469581444189,0.0999841403453052,0.10026770580034702
7,glass_blur,65.342,56.668,34.01,27.498,20.986,0.09953773772310466,0.11277542634312064,0.16372792316876353,0.17492318346435204,0.17085813406277447
8,impulse_noise,69.206,65.658,62.09,52.706,41.128,0.08973955761808902,0.09333977928634733,0.09419156637638808,0.10067035379476845,0.10032840868204831
9,jpeg_compression,70.55,68.376,66.872,62.03,55.004,0.09115634521387518,0.09630613236732781,0.0962597156971693,0.10186476075671613,0.11317941361065954
10,motion_blur,70.55,65.014,53.9,39.158,29.968,0.08581541232680902,0.09297583764877171,0.10210761449679732,0.11541569045387208,0.12468564349379391
11,pixelate,73.832,72.584,64.436,51.26,39.778,0.08765779450900853,0.08715952295951546,0.09812106939956546,0.11134410869915039,0.12653003026943654
12,shot_noise,71.266,67.898,62.228,50.196,40.332,0.08802024914313107,0.09188529471606016,0.09674537890145556,0.10021768536601215,0.10109392890965566
13,snow,64.508,51.056,53.274,44.888,41.734,0.09263241441417486,0.11091018509440125,0.10651085978418588,0.11661907408792525,0.12994418888917192
14,zoom_blur,55.284,46.118,40.098,33.358,26.982,0.10628025713272393,0.12147560175046325,0.12704833570655436,0.14287359810478986,0.152036186821945
