,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,67.884,65.794,62.72,57.792,51.3,0.08849147439982742,0.08967182635974139,0.09105848843540996,0.09603624776467681,0.10121812303885817
1,contrast,58.386,51.564,38.308,14.308,3.442,0.09767573702540248,0.10268255927268416,0.10490496661435812,0.11376369718646631,0.08358375918285921
2,defocus_blur,51.988,44.416,29.918,18.64,11.43,0.10107484289092943,0.10593505863202736,0.10229666003679856,0.09502047726914287,0.09165307707171887
3,elastic_transform,60.466,39.424,52.196,39.642,16.788,0.09410841577101499,0.1134602974439785,0.10192558462906628,0.12482958797220141,0.23722676090160386
4,fog,53.244,46.248,35.922,28.75,14.282,0.10033678294271231,0.10399569223739207,0.11531375073935836,0.1448471563662216,0.2185634859618917
5,frost,52.99,35.318,24.124,22.338,16.452,0.09773944934934378,0.1211162439378351,0.13957697062589228,0.14870714405066335,0.16736015114204028
6,gaussian_noise,49.822,37.38,19.292,6.1,1.162,0.10606707120388746,0.11860835821602493,0.16950458676006644,0.2311398716674,0.2711547694867849
7,glass_blur,48.866,36.626,15.942,12.16,8.676,0.10374903095722199,0.1131896428742446,0.14178802149210126,0.1363895490674302,0.11873498310217634
8,impulse_noise,34.486,23.5,15.354,4.48,0.998,0.1292604351277277,0.16532766622979195,0.20166406927529723,0.26702887801434844,0.29840201981011777
9,jpeg_compression,59.468,55.852,52.86,43.018,29.652,0.0994349860770069,0.1013648375973478,0.10380025530874729,0.11046244090750813,0.12500211131040007
10,motion_blur,57.228,45.426,28.802,16.204,11.172,0.0946490005736053,0.09894275357525796,0.10561944446800277,0.11860054014652967,0.12245203495038673
11,pixelate,60.158,60.19,41.658,26.336,23.114,0.09717522234681994,0.0966988880366087,0.11997439945973457,0.14049624685913326,0.1416173886024952
12,shot_noise,47.26,32.868,17.674,4.702,1.81,0.11125056072670966,0.13369104786399752,0.179937807854414,0.23908061641614883,0.2789726147344336
13,snow,46.672,23.59,27.952,17.792,10.866,0.11293703819636255,0.15573004042552785,0.15022278648652138,0.16549023447096348,0.25362252996371126
14,zoom_blur,44.238,34.254,27.644,22.174,17.644,0.10403455342616887,0.1186048389890045,0.1347666142788157,0.15105800533637403,0.16624805772572757
