,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,65.388,63.624,60.538,55.93,49.646,0.10963571364738046,0.1145191552599147,0.11827684163069352,0.12096066170560196,0.1211406307528168
1,contrast,61.29,57.852,50.644,29.782,8.394,0.12590861904488876,0.13177379556758329,0.13735322729159147,0.11412166737708263,0.06128237616906874
2,defocus_blur,48.396,41.488,29.76,20.38,13.49,0.11661171472134069,0.11804324660195038,0.1086710583476536,0.09553600909853355,0.08284599639248102
3,elastic_transform,58.856,38.698,55.402,46.052,26.378,0.12490942935457452,0.10504320306776091,0.12346516959834844,0.11650136624723673,0.11578481554212049
4,fog,53.128,46.676,37.688,33.408,21.2,0.11827387268012389,0.1152123402046971,0.10377853060072288,0.09763468964247032,0.08497054261265323
5,frost,54.086,38.976,28.458,27.016,21.088,0.12395479437801987,0.11181272785369306,0.09705464240120724,0.09480842265864835,0.08882400944042951
6,gaussian_noise,53.24,43.068,26.872,11.394,2.73,0.11226424740893766,0.10165857225669547,0.09603681748354807,0.14946933321526273,0.2205285716773197
7,glass_blur,48.312,37.408,19.458,15.852,12.484,0.1239479050934501,0.11646172900268809,0.1043655862817727,0.09937401895074174,0.08757648718168959
8,impulse_noise,49.2,36.696,26.376,9.518,2.524,0.10175687607590109,0.09552886936187745,0.09411603143122048,0.15616694196583703,0.21425315607430415
9,jpeg_compression,56.548,52.596,49.812,41.978,32.73,0.11455274129061029,0.1137608375044167,0.11320068309407681,0.11159139635340311,0.10537543589354492
10,motion_blur,59.33,52.53,40.772,27.338,19.726,0.12405642967108638,0.12899490916658193,0.12291445039018989,0.09992125879112632,0.08517327589165419
11,pixelate,57.374,53.854,39.888,23.604,19.21,0.11228676639692858,0.11278416869895533,0.10619141464818269,0.10183560345618055,0.09793048545759171
12,shot_noise,52.786,42.044,27.994,10.528,4.316,0.11147730795517564,0.10032841699799523,0.09532729015104473,0.1432900800330378,0.1958928592960909
13,snow,50.264,30.822,35.368,25.374,17.736,0.11738415680237115,0.09629494315447286,0.1026344137394987,0.09135100326722488,0.09163294817879795
14,zoom_blur,45.034,37.35,35.302,28.842,24.616,0.11312763708099723,0.10681410359604285,0.10553720720114186,0.10356326812069863,0.10535261167431251
