,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,64.478,62.73,59.856,55.148,48.68,0.39330726221170276,0.3876515180641972,0.37771988882155155,0.35735962695220486,0.3240492873310484
1,contrast,61.024,58.3,53.3,39.448,20.698,0.38507849645356645,0.37470839134307576,0.35373070462041534,0.274714486278519,0.14490871615419165
2,defocus_blur,50.002,42.736,29.042,19.802,13.144,0.33732988653732465,0.29237820526867175,0.19783000421391334,0.1334156185984984,0.087488439766136
3,elastic_transform,58.602,39.826,52.278,41.924,21.204,0.38207064664494245,0.27152261160018853,0.3511562428200431,0.2870589371385984,0.13745664805098437
4,fog,55.622,51.082,45.468,43.15,33.43,0.36705834091008643,0.3460267146484228,0.3142498966650665,0.29941273912809324,0.2326781447620131
5,frost,55.07,42.68,33.912,32.858,27.29,0.3648984436541237,0.2937964977669716,0.23556775800434873,0.22706375741245224,0.1864321804436948
6,gaussian_noise,54.926,46.276,30.28,12.47,2.072,0.3496028060473921,0.30053772112144156,0.18400723059221172,0.0862281590397749,0.1609929461279791
7,glass_blur,48.426,37.234,17.55,13.604,9.814,0.32806912935656496,0.2572074470663676,0.11212838301599026,0.08547211911990774,0.06113021868869662
8,impulse_noise,45.374,35.77,27.21,9.954,1.696,0.2950855923672393,0.2278021478730161,0.16069889910984783,0.07884453744565137,0.1627827868896164
9,jpeg_compression,57.514,53.346,49.91,37.32,21.69,0.3670885691336449,0.34590188449969517,0.32864508459383623,0.2510080939431768,0.13937293212588878
10,motion_blur,57.81,48.93,34.724,21.42,15.54,0.38112712505749424,0.33808433945884464,0.2482361406723829,0.1493612130401237,0.10390727616633755
11,pixelate,60.504,59.31,44.476,24.544,14.534,0.3807212059451174,0.37697859773440284,0.30020751174241306,0.15978361562176607,0.08879486747056246
12,shot_noise,52.662,42.042,27.43,8.56,2.268,0.3375569484985061,0.2732150163931865,0.16339984740933403,0.10071905532210133,0.17368336446599103
13,snow,49.654,34.654,36.832,26.53,22.414,0.33993976030953227,0.2450399088438321,0.2604536696470156,0.18503152065698988,0.15395031754285096
14,zoom_blur,41.892,32.806,29.256,23.48,20.586,0.2897234703169949,0.22681444103044457,0.2005995083204005,0.15642520827785134,0.13682784858338534
