,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,66.06,64.056,60.386,54.404,46.31,0.10298666237093508,0.10458060197774321,0.10726085646413266,0.10760376468915492,0.10463372904887423
1,contrast,59.082,53.288,42.456,20.522,6.028,0.1125333661540784,0.11478583501787856,0.11078451794024557,0.08790271885193884,0.06725665597398765
2,defocus_blur,52.344,45.696,32.01,20.034,11.578,0.11007232982344925,0.10806817050764338,0.10282785640288145,0.08786393023807555,0.07122370784944855
3,elastic_transform,60.052,39.574,58.982,50.738,27.58,0.11257688037905841,0.09973981947863475,0.10896924352604896,0.10761568023201078,0.12385238132201135
4,fog,45.318,35.102,23.554,18.508,7.86,0.10376834579033777,0.09661109168833122,0.09426842092785984,0.10453852184126154,0.13666700311299412
5,frost,55.822,39.57,27.69,25.89,19.47,0.10713704105418176,0.09972657826578245,0.09443822819093242,0.09538238355318085,0.10042236722907051
6,gaussian_noise,60.554,51.438,37.47,22.702,9.034,0.10399124090315774,0.10122366175312549,0.10761255545023829,0.16687899986352772,0.27969571751702577
7,glass_blur,57.614,49.044,28.602,21.286,12.712,0.1104799842569977,0.10953200676435605,0.10407344592802227,0.10084633829452097,0.09431121615405194
8,impulse_noise,50.786,41.106,33.492,19.484,8.672,0.10162381214521825,0.1025956533357501,0.11992699023805559,0.19557635267671197,0.30052469305224716
9,jpeg_compression,64.504,62.976,61.606,56.132,45.97,0.10511226181030274,0.1075845622939989,0.10821245612401516,0.10796105618039147,0.10346635636508465
10,motion_blur,60.196,52.362,37.642,21.582,14.304,0.11109938479110598,0.11412612865805626,0.10393399958893657,0.08534966301733628,0.08397501931590959
11,pixelate,64.808,64.376,61.006,54.726,48.89,0.10433095704538747,0.10444398330818862,0.10560341681595892,0.10722568699439987,0.10414936587715522
12,shot_noise,58.41,47.572,35.228,18.948,10.742,0.10415271596934646,0.10250033110085875,0.11540140556912869,0.19502559903256594,0.26441227047711613
13,snow,48.424,32.554,30.41,19.032,18.2,0.1036073005125299,0.09820934405840934,0.09779907432841137,0.10224342893488705,0.09847247471764684
14,zoom_blur,45.534,35.15,26.814,21.204,16.336,0.10648101023696363,0.10252645198719576,0.10455480769772083,0.1091372576616332,0.12040653239266946
