,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,67.874,65.964,62.846,58.0,50.712,0.05252892663512379,0.04895694016490132,0.04748657645942643,0.05024164489496499,0.049548998459540305
1,contrast,60.698,54.77,41.836,16.982,5.032,0.054176123733054846,0.0572377764043957,0.06040430689038709,0.1286805616080947,0.1221566669172328
2,defocus_blur,53.364,46.508,31.904,20.57,12.586,0.055523236867934464,0.058089996295478195,0.06412913891930133,0.07330265698041767,0.07910313803547993
3,elastic_transform,61.394,40.262,56.548,45.52,21.862,0.05544379203448072,0.06279677881462499,0.0566212506603077,0.06612938908366486,0.14325096805330365
4,fog,52.178,43.796,33.364,28.03,15.728,0.05073936864700168,0.05771650817101821,0.07731553468829021,0.09903114804703743,0.15026108843801544
5,frost,55.598,39.05,27.51,25.476,19.266,0.05007947802413255,0.06563544392652809,0.09679951752850786,0.10718514089114964,0.1333912711522728
6,gaussian_noise,53.67,38.898,21.27,8.23,1.88,0.05373824094187468,0.07814730851761997,0.16634527676403524,0.25306752610750494,0.29455536291889844
7,glass_blur,53.342,42.23,20.942,15.636,9.94,0.05852004988854751,0.0626752469545789,0.09974155005825683,0.1073616429281421,0.11363670826623216
8,impulse_noise,42.396,29.014,20.266,7.53,2.05,0.07666003202151507,0.13311476745642722,0.17998883830618112,0.2607513019762188,0.29629312289789317
9,jpeg_compression,61.78,57.962,54.85,41.976,23.046,0.051155398004949094,0.052189350442364814,0.055213405215945095,0.06046734320279211,0.11517957736771554
10,motion_blur,60.99,52.752,37.296,21.886,14.98,0.055809101151619106,0.05762504403779283,0.05088766741290689,0.0630121790647693,0.0761967533968389
11,pixelate,66.244,65.86,56.43,35.326,22.408,0.05034737034400925,0.05057980807987973,0.05177424984158948,0.07455326374970377,0.1274905360694602
12,shot_noise,50.912,35.44,21.548,7.558,2.994,0.05521384860951453,0.09473251484178007,0.15558117538139224,0.2357964971941337,0.26699292194083335
13,snow,51.338,34.16,35.732,24.432,21.022,0.05134592996504158,0.07131697154616937,0.06959004373511299,0.09780064745472744,0.10053407505264506
14,zoom_blur,45.082,34.658,28.55,22.41,17.684,0.053246965405140075,0.06371900896860287,0.08330072723351419,0.10631602535070851,0.12726107265058906
