,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,67.654,65.72,62.456,57.004,49.186,0.11307100265394897,0.11417429173063487,0.11964392269063741,0.12023721837664023,0.11859638375759125
1,contrast,61.074,55.726,45.3,22.474,6.546,0.12985433497535065,0.13763239455742762,0.1424292671808228,0.10521104001788423,0.04957555048440583
2,defocus_blur,53.278,46.746,32.23,19.292,10.83,0.1174972446497716,0.11616600535621867,0.1064743000934273,0.08838774699715897,0.0710219929611124
3,elastic_transform,61.538,40.626,60.152,51.656,27.808,0.12427256154727191,0.10727351658135653,0.12088838316306472,0.11835377101348712,0.12266853397335857
4,fog,49.186,38.992,26.924,21.524,9.824,0.1230425071157515,0.11143037138883025,0.09315220056079328,0.08859850710706785,0.1088810629157722
5,frost,58.372,43.206,31.706,29.924,23.1,0.12090916513424367,0.11217353269778192,0.1003833745990321,0.09773542663360014,0.09193311060374602
6,gaussian_noise,62.482,54.52,41.238,25.544,10.394,0.11681491943437607,0.11327334292128682,0.10480915941093116,0.12546846548460425,0.19612929619474337
7,glass_blur,58.046,49.166,28.814,21.794,13.45,0.11958601129682735,0.1139669081615843,0.10950141087869182,0.10472193437049165,0.10018150184903293
8,impulse_noise,53.254,44.222,37.268,22.298,10.114,0.11053600015893579,0.10486039031624794,0.10586807107176632,0.14386578052535653,0.21180951737985015
9,jpeg_compression,65.44,63.94,62.432,57.132,47.49,0.11426013299256563,0.11576571441849694,0.11679555939501152,0.11762063069123775,0.11099079837422818
10,motion_blur,61.274,53.38,38.524,22.466,15.242,0.12079440129693597,0.12286574374763296,0.11345342628737912,0.08938418144708499,0.08276004556940869
11,pixelate,66.152,65.412,61.422,54.472,48.212,0.11659552826460451,0.11619241920217872,0.11850918831773102,0.11700817828804254,0.11050042141251266
12,shot_noise,60.726,50.884,38.868,21.616,12.43,0.11405629640206695,0.1118528962181136,0.10551859891742468,0.1365443184370175,0.1813669624329731
13,snow,51.474,35.432,34.386,21.726,19.684,0.11587501335779204,0.10372253996007144,0.10204833979573101,0.09302328569652513,0.09029474447255954
14,zoom_blur,46.932,36.882,28.698,22.792,17.72,0.11254532506108283,0.10745377866718918,0.10425353993238881,0.10574827470373362,0.10918068952007219
