,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,67.37,66.094,63.968,60.714,55.968,0.05069164083760232,0.052198526715636254,0.05207221544839442,0.053270960155948996,0.05072391818072647
1,contrast,65.616,63.942,59.98,47.52,28.416,0.053954921259358524,0.05440192735478282,0.056256050258874896,0.05733878829859197,0.06352221612479537
2,defocus_blur,54.98,48.978,35.482,24.272,15.412,0.05596348939746618,0.05829412289232016,0.058594646737817675,0.059068486736007036,0.06122525207059458
3,elastic_transform,61.598,44.086,58.484,48.042,23.114,0.057346253047548236,0.05250795818507671,0.05510979610877111,0.058750764731802047,0.14151779976785184
4,fog,58.73,53.454,45.35,40.582,28.196,0.05429744384214282,0.05264639530396089,0.04880073443569243,0.059207405959721654,0.10224787131536751
5,frost,59.43,48.622,40.076,38.78,33.45,0.05375010207373649,0.052570363221503796,0.05990478113325313,0.06359542403364554,0.07372298935627565
6,gaussian_noise,63.542,62.608,59.514,54.262,46.48,0.052132062616571787,0.0513858674300462,0.05100501048143953,0.05203899829370901,0.052740045429207384
7,glass_blur,56.582,45.64,21.614,16.914,12.258,0.056831408225875346,0.057666973728314044,0.0918445166697912,0.09764922842927277,0.10364849536061287
8,impulse_noise,62.758,61.68,60.054,55.05,48.298,0.051844891531653704,0.05111335558090359,0.0492222562259622,0.051981763898953794,0.05422840715272352
9,jpeg_compression,62.346,59.116,56.354,47.15,33.632,0.05205361206984147,0.05286783370681107,0.053560047810077664,0.055976960931904615,0.06669880334015936
10,motion_blur,62.294,55.514,41.41,24.844,16.872,0.053445430508852004,0.05856284477438778,0.055680616173055024,0.05824582006845623,0.07009267420038581
11,pixelate,65.814,65.124,57.93,40.9,28.322,0.0536500620175153,0.05592872449757531,0.054283600153401494,0.05542495805937797,0.07601054814642295
12,shot_noise,63.474,61.876,59.024,52.562,46.548,0.05189423096794635,0.05219660528030246,0.051730357573926446,0.05288545862490311,0.05505443691744469
13,snow,56.25,42.884,42.672,31.34,32.128,0.052232387713603674,0.05184566275443882,0.05060054269231856,0.06539972601694986,0.06095849663455039
14,zoom_blur,47.778,37.796,32.308,25.836,21.07,0.05614479163810611,0.058561385738030075,0.0684863091244921,0.08426453036088496,0.09671271506868302
