,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,67.514,65.978,63.388,59.718,54.86,0.09425425888117403,0.0950904890152067,0.0955009869825095,0.09676515508785843,0.09783632125020027
1,contrast,62.708,59.818,54.42,40.154,21.504,0.0978330836526677,0.09989651722665877,0.1038977126016654,0.10417526213992387,0.09859928361909465
2,defocus_blur,50.828,42.706,29.136,19.116,11.938,0.10383910680498928,0.10722330559313298,0.10833991180656478,0.10066290746843443,0.09300026378640905
3,elastic_transform,61.298,40.518,51.794,38.072,15.268,0.09987546569878235,0.10592565197987482,0.10173765657451003,0.11618171966440975,0.1931316619863361
4,fog,58.504,53.768,45.294,37.192,20.792,0.09628867038346826,0.09733561543010175,0.10156405458062887,0.11198255929840728,0.16715030659265817
5,frost,54.188,37.274,26.964,24.648,19.232,0.09648614598538727,0.10588181009110063,0.12027105571661144,0.12760981102539226,0.14109652352562174
6,gaussian_noise,54.508,44.152,28.848,14.41,4.044,0.09822895401895046,0.09924457804694772,0.09914862391797825,0.09354719238387421,0.0798278598031029
7,glass_blur,53.54,41.464,15.922,11.042,7.338,0.10321331718686969,0.10619989631177858,0.15254986359385775,0.1594329004839435,0.14865555228654295
8,impulse_noise,46.078,33.77,25.502,11.836,3.724,0.09954798325788229,0.10338806692373008,0.10440504951626062,0.0954916489390377,0.08087017192179337
9,jpeg_compression,58.65,54.918,52.074,42.6,31.272,0.10122375637486578,0.10468659719213844,0.10562689456120133,0.10447635220695287,0.10114951123626903
10,motion_blur,58.932,48.9,34.148,20.058,13.67,0.10082715642455965,0.1018344366356358,0.09879930019425229,0.10296674360314384,0.10633994515031576
11,pixelate,63.924,62.572,47.996,28.65,22.372,0.09431046454811469,0.09521474391814322,0.10278913442352787,0.11565990715255961,0.11662680472975596
12,shot_noise,53.622,41.87,28.17,12.184,5.496,0.09861719285583123,0.09961166155831888,0.09995450325822458,0.09236174055665732,0.08326875074420124
13,snow,47.24,28.024,32.784,24.468,17.738,0.10303249369431287,0.1235417905193381,0.1162748661608249,0.12381048060664906,0.1704705974316038
14,zoom_blur,44.098,34.326,27.788,22.076,17.262,0.10323150198930875,0.11176484124502167,0.12072296845281497,0.13437061175839976,0.14531424219891428
