,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,75.366,73.744,71.236,66.878,60.14,0.08317656521653756,0.08566173452479765,0.08733724059090019,0.09252626099892892,0.09939909715262242
1,contrast,70.646,67.266,60.64,41.45,15.458,0.08998511604346335,0.09312911146042868,0.09967320164453239,0.10419391013834625,0.08539428893826902
2,defocus_blur,64.57,60.098,50.142,38.14,25.794,0.09871225812489166,0.10032581211134792,0.1064992032668367,0.10528851782817393,0.09307687378793955
3,elastic_transform,69.328,46.83,62.722,52.32,28.658,0.09068434966003522,0.10527182779463008,0.09531764801312238,0.1087121379141137,0.16934880105722697
4,fog,63.412,57.518,48.376,41.706,24.544,0.09389806583629921,0.09732724056456238,0.1036033186452277,0.11158524567872286,0.1483991111382656
5,frost,65.074,49.972,38.262,36.426,29.128,0.09265566557666287,0.1006606777512189,0.1073980046003405,0.11112223129197955,0.11670124332910403
6,gaussian_noise,67.814,60.068,45.15,24.234,5.718,0.09049843784425407,0.1016353995494172,0.11831512512713671,0.143144273107592,0.13824213042870165
7,glass_blur,60.752,49.574,26.4,21.678,16.022,0.09717756967347116,0.1067179558362253,0.1450117437810637,0.15068202617863194,0.13786857901478186
8,impulse_noise,63.898,53.678,44.004,21.416,5.482,0.09461254373259842,0.10959678655777126,0.12179322693888098,0.14629132678102702,0.1439106420843862
9,jpeg_compression,68.166,65.228,63.19,56.75,48.012,0.09479840722598136,0.0985835475281626,0.0989284638595581,0.10260391282968223,0.1050591559621878
10,motion_blur,71.598,67.32,58.01,41.516,29.11,0.08685587292958051,0.09229298650639131,0.09938406233990565,0.10063423760816455,0.10485891777643934
11,pixelate,69.736,68.262,59.15,47.384,40.3,0.08885265121590347,0.09341686740895733,0.09934918527690693,0.10809912247840316,0.10726136864496395
12,shot_noise,67.036,58.236,45.176,23.138,12.052,0.0912192681433633,0.10192432901889086,0.12004426708808169,0.14743090711744503,0.146944170261845
13,snow,60.8,41.32,43.336,30.834,23.134,0.09593106813201681,0.11184902772773057,0.10703694701369852,0.1108418611880578,0.14238175286063925
14,zoom_blur,62.13,54.774,50.82,42.752,34.56,0.09640389591330663,0.10320548161104322,0.10535115042310209,0.1168910526997596,0.13033129228321835
