,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,75.694,74.512,72.662,69.97,66.066,0.08362174839470536,0.08314027686722576,0.08841996737338602,0.08800689031846821,0.09343290648352355
1,contrast,73.47,72.104,69.7,62.46,48.006,0.08638966918800026,0.0877249183900468,0.09218670379513874,0.09773816011523828,0.11232691015249119
2,defocus_blur,62.37,55.966,42.39,29.958,19.434,0.10029163419097661,0.10634934864519165,0.11613735503638163,0.11480005863411352,0.11266723120158538
3,elastic_transform,69.95,47.24,62.024,49.494,22.096,0.09014545465711504,0.1040201478021592,0.0961263905660063,0.11283184988582506,0.19784037599692122
4,fog,66.524,61.54,53.78,47.292,31.858,0.09274119631137699,0.09618574865715578,0.10183151075705886,0.1076910119654797,0.12869639807218686
5,frost,65.964,50.766,39.494,36.566,29.74,0.09041263986445963,0.10594509531421586,0.12719655850630254,0.1350149663553387,0.15570266593005508
6,gaussian_noise,69.86,63.526,53.082,39.282,19.808,0.08644968201894312,0.09192611674379557,0.09819208279604093,0.10386914968434721,0.11359114281706512
7,glass_blur,64.75,54.006,25.526,19.514,12.868,0.09763873383626342,0.10715239561997354,0.1466654492953606,0.15018873314924538,0.1395466876062192
8,impulse_noise,64.2,57.048,50.67,35.828,19.552,0.09015993612911552,0.09531601490236818,0.10013388656126335,0.10407305339470506,0.11825508707303554
9,jpeg_compression,69.062,66.434,64.178,57.732,49.13,0.09411304975461215,0.09582425380501897,0.09710835635075346,0.10299475517690182,0.11168054907098413
10,motion_blur,70.106,63.01,48.17,28.996,19.082,0.08995862486608326,0.0970454982080683,0.09991373812487349,0.1168919411128573,0.1337105593654886
11,pixelate,73.4,72.726,61.9,47.668,40.612,0.08598093014847487,0.08661555380249396,0.099955181852635,0.11736419048758223,0.1196252403114736
12,shot_noise,68.902,61.416,51.818,35.172,21.06,0.09115387231387198,0.09444235881997272,0.09902386788025498,0.10148735721785575,0.1089627258183714
13,snow,62.126,46.468,48.94,39.46,35.734,0.09577438084065915,0.11414411670584232,0.11037847769722342,0.12171780369114131,0.14094493625273927
14,zoom_blur,54.378,43.922,36.724,29.098,22.722,0.10208623231520876,0.11409843445569277,0.1254918619711697,0.13971622538514436,0.14928738963352517
