,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,71.48,70.21,68.266,65.1,60.09,0.09435200965471566,0.09376244005005807,0.09624871902033687,0.09841791558716446,0.10067579558251426
1,contrast,68.866,66.682,62.672,50.438,28.918,0.0979177172582224,0.09736681707408279,0.10135831727286801,0.10366634856469929,0.10201463765241206
2,defocus_blur,60.48,55.232,44.516,33.56,22.802,0.10219853114899248,0.10292699283391238,0.10606060388732702,0.09979705164284446,0.09551471474319696
3,elastic_transform,65.28,49.53,63.128,52.798,23.338,0.10308065755659715,0.0991484867066145,0.10480902826974169,0.10655468268083408,0.15972022701762617
4,fog,64.876,61.078,54.26,48.82,34.568,0.0975950175142102,0.10036991372359917,0.10055190070191398,0.10056266608042642,0.11711236488811672
5,frost,63.786,52.966,45.1,43.378,38.234,0.09918430900537409,0.09673865565736778,0.09962786906475202,0.10081378172761761,0.10361573514316232
6,gaussian_noise,64.332,60.112,53.624,45.168,33.992,0.09541785535428673,0.09567140543129295,0.09693121497083455,0.09769493159286678,0.09678844709709286
7,glass_blur,61.44,51.702,26.162,20.886,15.788,0.10062379010153934,0.10384477673273533,0.13064868473973126,0.13669893782071768,0.13071337897529825
8,impulse_noise,61.794,56.586,52.572,43.204,33.304,0.09455336126670241,0.09561751368874684,0.09701285308869556,0.09783515824913978,0.09749039324027486
9,jpeg_compression,65.132,62.402,59.742,51.316,38.354,0.09645294504284858,0.10016079065781086,0.09894747046472505,0.10177990489864722,0.09844116790441797
10,motion_blur,65.906,58.26,44.204,27.6,18.85,0.09907181907456368,0.1033804411156103,0.09972658930964767,0.0952470932383649,0.09253941922173835
11,pixelate,68.994,68.324,58.314,38.642,24.154,0.09626459474541246,0.09664483820673078,0.0985733665053174,0.11092750228710473,0.12659850091056898
12,shot_noise,64.216,59.5,52.878,40.334,30.792,0.09651436526414008,0.09852757535465062,0.09892818539539353,0.10112710657540709,0.09789944482550025
13,snow,60.718,47.672,44.296,33.114,32.346,0.09952506115257741,0.09782349415360019,0.10025400145554915,0.10209948580780998,0.1048522712011449
14,zoom_blur,56.308,47.356,39.942,33.002,26.41,0.0999688274835609,0.10386467831037939,0.10808935525745153,0.11708446910694241,0.12530785289799795
