,Corruption,FP,T5D
0,brightness,0.048897333333341064,1.1932693333333129
1,gaussian_noise,0.23650399999998784,4.765209333333404
2,motion_blur,0.09296466666667115,1.9298259999999627
3,rotate,0.13104066666666997,2.951907333333263
4,scale,0.23531666666665768,4.477918666666707
5,shot_noise,0.30060133333334405,5.758156000000035
6,snow,0.11927933333334259,2.4176373333332775
7,tilt,0.07050466666666837,1.7452919999999654
8,translate,0.11006950000001388,2.6251589999999885
9,zoom_blur,0.0594240000000105,1.3395593333332956
