,Corruption,FP,T5D
0,brightness,0.02081066666666503,0.7778086666666312
1,gaussian_noise,0.1033600000000047,3.244163999999948
2,motion_blur,0.05154600000000089,1.521088666666626
3,rotate,0.059788000000000646,2.029984666666625
4,scale,0.11658066666666889,3.2247866666666116
5,shot_noise,0.12467933333334164,3.751367333333309
6,snow,0.058183999999998307,1.7968726666666388
7,tilt,0.03856400000000006,1.4293526666666418
8,translate,0.0427930000000008,1.6002835000000128
9,zoom_blur,0.043162000000003434,1.2452026666666351
