,Corruption,FP,T5D
0,brightness,0.018846666666665554,0.7291953333332971
1,gaussian_noise,0.06338133333333382,2.2935793333332795
2,motion_blur,0.03698599999999965,1.187921333333304
3,rotate,0.0508073333333334,1.8136219999999585
4,scale,0.0923700000000024,2.8450699999999918
5,shot_noise,0.07756000000000178,2.6957399999999327
6,snow,0.037021999999999264,1.2433319999999775
7,tilt,0.03159799999999977,1.2103413333333093
8,translate,0.03664900000000085,1.432581999999986
9,zoom_blur,0.03597466666666564,1.0832633333333017
