,Corruption,FP,T5D
0,brightness,0.023326666666664154,0.8741426666666232
1,gaussian_noise,0.10898333333333941,3.496085333333326
2,motion_blur,0.04806133333333405,1.4371359999999687
3,rotate,0.059477333333333694,2.0805606666666376
4,scale,0.10500133333333489,3.055970666666637
5,shot_noise,0.1360406666666733,4.087993333333312
6,snow,0.05717133333333225,1.7182279999999621
7,tilt,0.03663866666666662,1.405093333333295
8,translate,0.04073050000000105,1.569981999999987
9,zoom_blur,0.03889800000000104,1.1631239999999696
