,Corruption,FP,T5D
0,brightness,0.018806666666665646,0.7060739999999692
1,gaussian_noise,0.044203333333333504,1.646978666666592
2,motion_blur,0.02693399999999872,0.9045893333333017
3,rotate,0.048828666666666826,1.748889333333284
4,scale,0.09143200000000289,2.8088226666666625
5,shot_noise,0.051105333333333794,1.863377999999953
6,snow,0.029753333333332722,1.0078206666666376
7,tilt,0.028023333333332692,1.1038433333333044
8,translate,0.034951500000000885,1.3437474999999797
9,zoom_blur,0.025604666666662886,0.8114499999999562
