,Corruption,FP,T5D
0,brightness,0.021157999999998116,0.830284666666624
1,gaussian_noise,0.06715866666666748,2.452205999999952
2,motion_blur,0.03455866666666589,1.127297333333296
3,rotate,0.05284800000000015,1.9129893333332917
4,scale,0.09454466666666848,2.8926846666666486
5,shot_noise,0.08617400000000307,2.9569499999999613
6,snow,0.03985933333333248,1.3126493333332998
7,tilt,0.03202399999999942,1.2716433333333121
8,translate,0.03627800000000075,1.4533164999999884
9,zoom_blur,0.03229266666666247,1.003625999999957
