,Corruption,FP,T5D
0,brightness,0.01924133333333222,0.7758893333332921
1,gaussian_noise,0.09246000000000365,3.107629333333308
2,motion_blur,0.037615999999999754,1.2274499999999686
3,rotate,0.0526173333333335,1.8946666666666319
4,scale,0.0921640000000027,2.865081333333311
5,shot_noise,0.1122453333333394,3.533860666666635
6,snow,0.049227333333332325,1.6515886666666384
7,tilt,0.03292066666666627,1.2841993333332826
8,translate,0.03749550000000089,1.487296999999993
9,zoom_blur,0.036031999999999266,1.0832459999999617
