,Corruption,FP,T5D
0,brightness,0.018953999999998944,0.7454779999999678
1,gaussian_noise,0.06572866666666766,2.360577333333323
2,motion_blur,0.030476666666665108,1.0239486666666364
3,rotate,0.04989733333333308,1.8140573333333043
4,scale,0.08856933333333657,2.74584533333331
5,shot_noise,0.07931800000000197,2.7510393333332948
6,snow,0.03967933333333258,1.3247299999999531
7,tilt,0.03011399999999939,1.181414666666648
8,translate,0.03693200000000091,1.4561845000000102
9,zoom_blur,0.031567333333328375,0.96147199999996
