,Corruption,FP,T5D
0,brightness,0.02735933333332913,0.7913019999999552
1,gaussian_noise,0.13269266666667368,3.3216233333332634
2,motion_blur,0.04449733333333403,1.1725926666666389
3,rotate,0.052599333333335024,1.5185273333332996
4,scale,0.11741400000000243,2.6852239999999554
5,shot_noise,0.16089466666667035,3.8478419999999707
6,snow,0.05968733333333126,1.4777419999999626
7,tilt,0.0331673333333328,1.0134799999999646
8,translate,0.039128000000001655,1.2054889999999925
9,zoom_blur,0.045155333333338654,1.0942873333332828
