,Corruption,FP,T5D
0,brightness,0.03138533333332859,0.8477113333332876
1,gaussian_noise,0.123070666666673,2.9526033333333146
2,motion_blur,0.05316266666666759,1.289990666666635
3,rotate,0.07593333333333552,1.9755333333332896
4,scale,0.13691600000000562,3.028795999999949
5,shot_noise,0.1568593333333373,3.600586000000018
6,snow,0.06894533333333376,1.5879439999999532
7,tilt,0.04476666666666705,1.2539099999999472
8,translate,0.061112000000001686,1.6755789999999897
9,zoom_blur,0.04916600000000617,1.1567673333332924
