,Corruption,FP,T5D
0,brightness,0.03473266666666558,0.9943493333332994
1,gaussian_noise,0.13398000000000573,3.4182706666666345
2,motion_blur,0.04879533333333448,1.272583333333303
3,rotate,0.08370800000000204,2.2869599999999655
4,scale,0.1609466666666728,3.5629666666666533
5,shot_noise,0.19401266666666492,4.499659333333311
6,snow,0.07078066666666792,1.7077639999999585
7,tilt,0.04712066666666725,1.3924546666666318
8,translate,0.066825500000004,1.9503660000000114
9,zoom_blur,0.04628800000000467,1.1622859999999677
