,Corruption,FP,T5D
0,brightness,0.03067933333332928,0.870347333333297
1,gaussian_noise,0.07078333333333493,1.9803493333332942
2,motion_blur,0.04254200000000013,1.1327979999999618
3,rotate,0.07823400000000197,2.129181333333286
4,scale,0.15578200000000694,3.4313079999999525
5,shot_noise,0.08097666666666835,2.2263333333332773
6,snow,0.05281866666666652,1.372293333333291
7,tilt,0.04321600000000035,1.2705479999999696
8,translate,0.06282500000000157,1.8006729999999893
9,zoom_blur,0.041046666666668716,1.0436739999999602
