,Corruption,FP,T5D
0,brightness,0.0321573333333305,0.9267159999999609
1,gaussian_noise,0.11318333333333801,2.9451506666666396
2,motion_blur,0.04649133333333433,1.2210286666666306
3,rotate,0.08071666666666878,2.2217019999999463
4,scale,0.15282733333333948,3.462324666666623
5,shot_noise,0.14573866666667182,3.6169386666666457
6,snow,0.0672093333333337,1.637022666666627
7,tilt,0.04592266666666722,1.3555053333332985
8,translate,0.06724950000000367,1.936644500000013
9,zoom_blur,0.0460746666666717,1.1494133333333103
