,Corruption,FP,T5D
0,brightness,0.03389866666666508,0.9392693333332929
1,gaussian_noise,0.09425000000000221,2.4318499999999976
2,motion_blur,0.04583333333333438,1.1736633333332902
3,rotate,0.08023866666666886,2.136755999999982
4,scale,0.15258600000000616,3.3626746666666207
5,shot_noise,0.09354400000000185,2.444452666666598
6,snow,0.05644466666666634,1.4231499999999815
7,tilt,0.04320133333333379,1.2582139999999642
8,translate,0.06536300000000335,1.8221950000000062
9,zoom_blur,0.03757000000000022,0.9640686666666195
