,Corruption,FP,T5D
0,brightness,0.03647666666666675,1.0484519999999664
1,gaussian_noise,0.16485933333333558,4.002292666666653
2,motion_blur,0.060928000000001696,1.5216313333333027
3,rotate,0.08370333333333561,2.3107139999999617
4,scale,0.14177733333333736,3.3631406666666233
5,shot_noise,0.18951400000000046,4.462646
6,snow,0.08380400000000318,1.96731466666663
7,tilt,0.0489766666666671,1.4533946666666322
8,translate,0.06905500000000396,2.0113685000000228
9,zoom_blur,0.0486913333333393,1.2234719999999621
