,Corruption,FP,T5D
0,brightness,0.022571999999997986,0.7914266666666306
1,gaussian_noise,0.0967686666666714,2.9835673333332866
2,motion_blur,0.02788866666666603,0.977908666666643
3,rotate,0.04231266666666688,1.5068026666666343
4,scale,0.07946000000000386,2.2689233333333134
5,shot_noise,0.11361866666667289,3.3864586666666527
6,snow,0.04453999999999907,1.2857226666666355
7,tilt,0.025649999999999527,0.9904273333333001
8,translate,0.029641000000000414,1.1314964999999766
9,zoom_blur,0.03252533333333088,0.9700606666666246
