,Corruption,FP,T5D
0,brightness,0.030268666666663675,0.9982159999999578
1,gaussian_noise,0.14039200000000515,3.923603999999985
2,motion_blur,0.059999333333334445,1.6275519999999684
3,rotate,0.06794200000000124,2.1545539999999797
4,scale,0.11318000000000153,3.011708666666646
5,shot_noise,0.17385666666666863,4.546794666666669
6,snow,0.07538466666666822,1.947086666666629
7,tilt,0.04009933333333335,1.3985519999999683
8,translate,0.04866850000000089,1.68415149999999
9,zoom_blur,0.04284866666667005,1.196661999999965
